ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;1;1847;32;[1815,5,1875,60];2624.75;0.86315;2614.78;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;2;1762;49;[1723,11,1803,95];3278.89;0.862491;5446.74;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;3;790;135;[753,49,829,176];3598.53;0.78027;7024.55;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;4;1042;84;[1009,47,1075,125];3303.93;0.850167;4135.1;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;5;1500;142;[1446,62,1542,191];3171.41;0.712396;7730.41;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;6;1433;189;[1402,155,1463,224];2855.2;0.838983;3471.82;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;7;842;212;[789,162,895,263];4129.66;0.889745;8512.93;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;8;1160;205;[1125,168,1203,243];3085.73;0.826876;4684.45;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;9;236;242;[216,222,265,264];2406.88;0.846137;1672.56;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;10;2100;286;[2050,236,2169,342];3538.44;0.841814;8667.31;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;11;1074;302;[1012,240,1137,374];5171.42;0.931901;11954.9;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;12;1913;364;[1873,327,1954,403];3577.68;0.888516;5184.84;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;13;85;396;[56,373,117,427];2408.49;0.787062;2208.08;19
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;14;1206;471;[1164,429,1249,514];3582.78;0.908502;5831.08;20
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;15;449;472;[410,431,490,517];4095.06;0.931028;5719.29;21
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;16;1646;468;[1622,434,1670,498];2403.88;0.738172;2320.93;22
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;17;206;515;[153,451,257,571];4878.33;0.940461;9566.93;23
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;18;1075;524;[1037,488,1121,562];3466.81;0.910317;4862.25;24
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;19;1925;537;[1882,492,1986,579];4775.84;0.911557;6754.13;25
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;20;1842;574;[1802,535,1885,616];3940.74;0.864773;5639.44;26
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;21;1740;634;[1706,602,1778,665];3010.67;0.788738;3570.83;27
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;22;1573;646;[1550,626,1594,667];2380.79;0.833749;1480.93;28
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;23;125;680;[70,635,171,724];3687.7;0.933392;7400.37;29
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;24;929;683;[897,652,960,714];2711.92;0.825382;3069.38;30
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;25;1359;703;[1322,663,1403,742];3595.6;0.849908;5109.25;31
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;26;373;711;[344,680,409,742];2825.88;0.803931;3255.7;32
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;27;434;741;[390,692,464,771];2446.17;0.69578;3824.22;33
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;28;2102;778;[2074,750,2136,807];2789.92;0.780745;2872.42;35
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;29;539;787;[513,760,568,815];2513.01;0.844789;2410.36;36
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;30;1835;811;[1804,782,1872,842];3861.49;0.943816;3329.16;37
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;31;1085;816;[1055,787,1125,845];2770.17;0.753781;3333.42;38
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;32;688;846;[579,805,774,910];3384.78;0.734455;14257.8;39
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;33;1875;878;[1813,814,1945,940];4939.38;0.925423;13278.3;40
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;34;2091;859;[2050,825,2127,893];2910.84;0.817232;4270.31;41
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;35;756;939;[714,898,795,983];4090.16;0.89749;5973.74;42
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;36;1262;952;[1230,906,1317,988];2691.55;0.638914;3646.42;43
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;37;1767;973;[1709,931,1802,1033];3502.4;0.774847;5841.73;44
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;38;1371;1001;[1332,965,1414,1038];2652.19;0.833471;5053.89;45
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;39;1669;1009;[1630,972,1710,1047];3837.34;0.937316;4990.01;46
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;40;1772;1058;[1737,1021,1807,1108];3359.49;0.843072;5037.92;47
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;41;1566;1142;[1536,1107,1597,1173];2740.92;0.800018;3318.51;48
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;42;1867;1161;[1828,1123,1912,1201];3682.19;0.927215;5633.06;49
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;43;856;1195;[817,1158,896,1237];3141.54;0.807645;4785.6;50
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;44;505;1201;[452,1157,583,1251];4574.87;0.926522;9259.25;51
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;45;142;1214;[101,1178,190,1251];3921.51;0.904744;5309.4;52
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;46;943;1231;[907,1194,980,1275];3297.85;0.86125;4870.77;53
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;47;1534;1281;[1455,1205,1596,1361];5820.56;0.906295;15951.6;54
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;48;1285;1267;[1209,1217,1335,1363];4946.69;0.857048;12698.1;55
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D15;4;15;1;1;49;2121;1268;[2080,1231,2168,1307];3392.84;0.86161;5151.84;56
