ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;1;1485;1833;[1475,1817,1536,1871];1834.96;0.228334;1210.51;3
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;2;2061;52;[2016,12,2108,96];2414.85;0.716016;5804.46;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;3;1206;63;[1169,26,1245,102];2670.84;0.695766;4266.05;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;4;1362;55;[1334,26,1391,85];2622.45;0.73558;2671.2;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;5;198;134;[119,37,275,210];2842.12;0.684622;19295.7;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;6;1933;72;[1896,46,1979,108];2401.26;0.595919;3510.15;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;7;1973;214;[1910,104,2056,271];2932.96;0.638819;15550.3;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;8;1019;154;[982,117,1056,190];2631.29;0.671209;4305.44;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;9;1125;189;[1090,153,1163,226];2717.06;0.655462;4053.12;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E18;5;18;1;1;10;601;210;[555,163,645,263];2944.81;0.762415;7168.28;19
