ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;1;845;67;[810,8,884,104];2511.73;0.49705;3486.72;4
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;2;1218;96;[1175,63,1239,120];2606.7;0.485727;2635.01;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;3;260;105;[240,85,294,134];2058.49;0.517539;1537.35;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;4;567;162;[539,129,595,187];2502;0.316815;1420.24;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;5;504;214;[414,148,549,242];2444.18;0.288463;4489.62;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;6;194;196;[132,154,255,237];2528.56;0.524064;6103.63;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;7;1327;207;[1267,179,1384,275];2721.63;0.461809;5781.04;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;8;664;263;[594,212,709,315];2659.26;0.447112;6378.31;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;9;1163;259;[1119,235,1193,297];2664.91;0.493175;2825.58;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;10;932;290;[910,236,970,307];2683.64;0.473969;2011.12;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;11;991;289;[956,264,1012,309];2998.95;0.631364;1901.46;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;12;1620;318;[1597,280,1674,343];2705.04;0.483578;2793.64;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;13;1799;312;[1760,283,1821,344];2494.44;0.392123;2059.03;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;14;805;335;[774,284,865,405];2980.58;0.421404;5793.82;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;15;631;326;[610,309,653,359];2440.24;0.340066;1031.64;19
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;16;2115;383;[2077,353,2158,417];2343.28;0.506636;3222.69;20
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;17;563;388;[515,362,588,409];2471.28;0.560833;2465.73;21
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;18;1577;409;[1533,386,1598,447];2538.86;0.44051;2327.32;22
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;19;1083;377;[1021,341,1121,427];2868.74;0.541819;5602.18;23
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;20;360;440;[335,419,398,463];2355.58;0.542618;1748.15;24
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;21;1738;442;[1711,422,1758,474];2754.08;0.439128;1402.14;25
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;22;1561;549;[1506,485,1599,575];3111.34;0.524554;4599.28;26
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;23;1586;504;[1568,482,1624,529];2725.06;0.689054;1634.24;27
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;24;273;551;[204,515,337,604];2721.02;0.5452;7034.13;28
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;25;2153;600;[2116,576,2175,623];2397.96;0.545399;1684.27;29
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;26;1489;616;[1456,578,1520,664];2709.08;0.415694;2899.04;30
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;27;927;617;[909,598,970,638];2670.83;0.56847;1815.23;31
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;28;816;635;[790,603,872,699];2831.37;0.412071;4437.46;32
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;29;458;635;[410,611,504,663];2515.7;0.529474;3307.86;33
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;30;918;658;[875,621,949,675];2638.05;0.477736;2159.11;34
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;31;226;679;[202,659,276,702];2416.92;0.601294;2249.6;35
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;32;219;736;[193,709,254,768];2422.54;0.561465;2566.87;37
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;33;906;755;[853,721,935,814];2792.38;0.495385;5069.86;38
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;34;2172;748;[2105,729,2194,813];2877.57;0.489125;3399.42;39
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;35;811;795;[773,762,844,821];2741.62;0.504519;2524.28;40
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;36;1513;830;[1486,778,1548,855];2823.15;0.593336;3437.75;41
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;37;1569;833;[1535,792,1608,867];2874.46;0.655638;3487.79;42
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;38;1967;838;[1928,810,1988,869];2297.8;0.206856;1981.31;43
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;39;1974;955;[1939,926,2009,1002];2852.49;0.5942;3761.4;44
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;40;257;1021;[224,993,281,1047];2136.09;0.410609;1920.63;45
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;41;603;1031;[577,1006,634,1072];2695.95;0.583995;2883.07;46
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;42;751;1083;[700,1038,799,1170];2801.23;0.402031;6053.59;47
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;43;1798;1082;[1766,1044,1827,1113];2787.23;0.59799;3108.77;48
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;44;361;1088;[315,1056,391,1125];2221.64;0.537002;3150.3;49
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;45;1267;1262;[1196,1199,1413,1355];2994.86;0.503213;20415.7;50
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;46;764;1317;[733,1261,830,1352];2606.55;0.477818;5240.2;51
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;47;1454;1331;[1402,1284,1503,1386];2854.55;0.709549;7230.03;52
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;48;2059;1353;[2038,1328,2087,1374];2374.48;0.661258;1544.81;53
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;49;1191;1372;[1153,1334,1220,1402];2957.48;0.641958;3025.73;54
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;50;2093;1397;[2027,1343,2144,1443];2554.32;0.517597;6435.8;55
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;51;828;1406;[800,1374,846,1423];2708.81;0.665501;1340.39;56
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;52;853;1455;[766,1411,886,1488];2802.19;0.622744;6426.22;57
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;53;2080;1538;[2034,1495,2151,1583];2389.15;0.535271;6524.17;58
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;54;57;1657;[9,1601,119,1718];2178.15;0.546145;8340.46;59
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;55;1246;1636;[1216,1610,1295,1702];2436.84;0.389387;4109.54;60
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;56;1962;1697;[1907,1655,1996,1733];2420.76;0.55037;4226.66;61
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;57;248;1721;[210,1688,275,1750];2319.14;0.661498;2769.15;62
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;58;2025;1809;[1993,1790,2048,1841];2167;0.46462;1684.27;63
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;59;899;1822;[873,1793,945,1849];2540.58;0.550252;2938.43;64
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;60;626;1878;[560,1811,708,1916];2476.18;0.551154;8155.21;65
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G23;7;23;1;1;61;1234;1888;[1182,1820,1264,1920];2124.56;0.428978;4635.48;66
