ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;1;680;43;[621,4,723,88];2195.34;0.72656;6289.94;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;2;1900;38;[1842,4,1936,72];2047.1;0.627746;4118.06;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;3;149;92;[82,23,224,158];1919.42;0.600626;12557.5;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;4;578;67;[535,28,622,111];2365.24;0.761028;5969.49;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;5;2117;175;[2045,54,2156,219];1954.12;0.45893;10310.1;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;6;724;187;[657,115,782,245];2505.47;0.621841;10133.3;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;7;840;179;[786,137,891,222];2348.3;0.709358;6948.96;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;8;1664;180;[1626,156,1692,210];2169.86;0.562931;2236.83;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;9;1021;199;[976,158,1062,244];2308.01;0.679294;5816.18;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;10;1918;221;[1853,174,1956,271];2176.99;0.667427;5986.52;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;11;1196;234;[1152,184,1233,267];2161.74;0.533475;4160.65;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;12;2101;244;[2066,217,2134,279];2024.07;0.66539;3262.08;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;13;301;299;[256,245,354,358];2311.45;0.650361;7771.94;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;14;910;295;[864,248,957,349];2523.81;0.692279;7561.14;19
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;15;1325;317;[1286,251,1419,361];2383.73;0.55693;9786.25;20
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;16;1943;292;[1894,249,1986,336];2409.96;0.737103;5948.19;21
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H17;8;17;1;1;17;1771;331;[1731,288,1811,374];2316.77;0.664424;4925.07;22
