ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;1;801;20;[782,6,827,38];4253.77;0.743421;1040.16;1
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;2;1908;71;[1884,56,1937,95];3147.96;0.674985;1439.41;2
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;3;1941;97;[1927,76,1965,131];3527.3;0.699018;1506.48;3
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;4;1572;151;[1544,128,1600,179];3597.57;0.663092;1676.82;4
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;5;690;194;[666,173,714,219];3604.23;0.890864;1777.96;5
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;6;1962;534;[1918,521,1985,565];3817.84;0.552877;1335.07;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;7;1844;565;[1804,537,1859,581];4673.44;0.580834;1354.23;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;8;894;801;[877,765,922,846];3711.22;0.583065;2328.39;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;9;1175;1574;[1131,1550,1193,1588];3862.74;0.496118;1106.17;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;10;394;1996;[380,1977,433,2040];2939.56;0.429037;1578.87;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;11;931;2046;[913,2026,954,2078];3225.37;0.684998;1422.37;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;12;1906;2084;[1881,2065,1936,2108];3377.99;0.691035;1425.56;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;13;1914;29;[1893,11,1933,47];3591.9;0.761223;1131.72;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;14;1084;33;[1068,19,1110,53];4457.62;0.74225;1006.09;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;15;337;40;[314,19,360,70];3577.44;0.598416;1593.78;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;16;800;59;[775,34,821,82];5035.78;0.892968;1665.11;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;17;94;65;[69,42,116,91];3937.7;0.797215;1787.55;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;18;1608;123;[1577,94,1635,152];4847.81;0.811935;2277.28;19
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;19;1429;194;[1395,170,1456,219];5046.63;0.727233;1706.63;20
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;20;389;197;[370,170,414,212];4541.24;0.724876;1139.17;21
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;21;1039;202;[1005,184,1086,227];4634.94;0.5603;2405.04;22
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;22;689;252;[638,209,716,281];4474.23;0.550716;3258.89;23
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;23;192;242;[173,221,222,260];3763.59;0.701941;1340.39;24
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;24;1886;308;[1867,280,1909,356];3205.55;0.588942;1938.73;25
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;25;1195;400;[1173,353,1213,430];3879.89;0.546382;1673.63;26
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;26;1882;546;[1854,522,1918,570];6103.97;0.913589;2314.55;27
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;27;2162;541;[2136,521,2186,574];2959.46;0.613311;1867.39;28
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;28;2142;594;[2110,573,2189,628];3292.03;0.628223;2395.46;29
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;29;422;607;[391,576,448,644];3456.55;0.569055;2238.96;30
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;30;1822;596;[1798,578,1853,615];4226.13;0.827825;1633.17;31
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;31;1128;718;[1094,685,1149,742];5067.91;0.657237;1761.99;32
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;32;936;830;[908,804,971,857];5352.2;0.831885;2758.5;33
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;33;1560;1008;[1539,989,1587,1028];3665.18;0.798923;1263.74;34
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;34;1975;1024;[1941,996,2011,1058];4672.72;0.763812;3093.87;35
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;35;2009;1081;[1966,1057,2045,1147];4936.47;0.701198;4322.47;36
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;36;1111;1102;[1094,1069,1137,1137];4107.53;0.604209;1685.34;37
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;37;873;1203;[847,1182,891,1225];3957.09;0.758822;1318.04;39
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;38;2101;1243;[2052,1204,2151,1279];3281.78;0.460699;3764.6;40
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;39;1977;1871;[1956,1829,1990,1896];3344.21;0.678073;1573.55;42
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;40;1940;1902;[1919,1867,1964,1922];4060.89;0.672358;1809.9;43
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;41;369;1972;[353,1943,395,1992];3504.36;0.722002;1315.91;44
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;42;602;1997;[551,1952,650,2037];4642.23;0.750637;6411.31;45
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;43;1860;2081;[1841,2059,1893,2100];3765.11;0.727436;1349.97;46
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K5;11;5;1;1;44;236;2130;[205,2106,267,2160];3599.3;0.655736;2267.7;47
