ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;1;492;629;[459,612,514,645];2390.1;0.69708;1258.41;3
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;2;308;970;[262,948,326,1009];2402.86;0.452056;1681.08;4
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;3;1687;1376;[1657,1355,1704,1392];2711.79;0.634695;1181.76;5
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;4;532;29;[494,7,589,54];2602.27;0.469005;2629.68;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;5;1055;50;[1025,32,1069,77];2738.71;0.546862;1102.98;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;6;1115;62;[1074,36,1137,88];2781.36;0.519379;1873.78;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;7;542;122;[510,92,574,159];2705.55;0.488266;2089.91;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;8;1945;118;[1903,95,1972,152];3082.66;0.567323;2590.29;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;9;1504;146;[1482,126,1524,173];3031.52;0.830637;1290.35;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L13;12;13;1;1;10;1993;169;[1965,143,2032,189];3161.53;0.650333;2015.38;13
