ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;1;2001;66;[1956,44,2016,77];2577;0.532569;1107.23;1
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;2;1417;79;[1403,61,1446,127];2739.75;0.481017;1450.05;2
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;3;1433;53;[1416,24,1468,100];3185.2;0.593542;2053.71;5
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;4;1488;55;[1453,30,1508,87];3235.18;0.750761;2292.19;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;5;450;99;[434,77,470,177];2639.29;0.423008;2363.52;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;6;1170;157;[1134,119,1189,176];2887.29;0.512574;1897.2;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;7;1619;147;[1582,119,1648,205];3146.41;0.562317;3857.22;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;8;1314;209;[1287,175,1336,235];3060.02;0.564761;2068.61;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;9;1604;244;[1575,204,1634,264];2756.95;0.427371;2052.64;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;10;253;345;[234,320,274,383];2572.86;0.611255;1566.1;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;11;1262;345;[1238,324,1299,382];3690.23;0.559126;2303.9;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;12;407;375;[386,358,427,405];2725.08;0.442181;1124.27;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;13;619;471;[585,455,635,496];2390.1;0.427339;1214.76;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;14;1059;552;[1023,534,1073,592];2691.67;0.434984;1599.1;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N10;14;10;1;1;15;1586;638;[1569,624,1626,684];2994.4;0.357909;1919.56;18
