ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;1;950;70;[912,38,1016,116];4012.94;0.75338;6214.35;4
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;2;1368;101;[1335,69,1401,141];3440.33;0.78355;3779.5;5
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;3;596;113;[556,73,643,154];4330.81;0.772669;6048.27;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;4;207;115;[160,76,246,159];4524.71;0.86738;5334.95;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;5;1247;120;[1218,94,1272,163];2863.64;0.735406;2670.14;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;6;1811;221;[1764,181,1859,279];4303.24;0.711588;6255.88;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;7;1558;250;[1503,200,1634,306];3470.26;0.815676;10519.8;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;8;1460;321;[1429,288,1492,360];3702.59;0.757025;3563.38;11
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;9;2151;354;[2100,319,2188,402];2915.89;0.534492;4564.15;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;10;624;390;[587,359,663,429];4936.87;0.761696;4098.9;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;11;816;456;[779,424,850,502];4179.47;0.72233;4259.66;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;12;699;464;[658,427,736,504];5277.93;0.814353;4817.54;15
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;13;1075;514;[1038,477,1117,551];3916.78;0.828097;4476.85;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;14;1560;571;[1503,493,1620,655];4442.2;0.817009;15195.7;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;15;43;545;[16,502,91,575];2878.48;0.633726;3597.45;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;16;2000;610;[1974,582,2026,648];3816.1;0.836708;2588.16;19
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;17;2056;637;[2022,590,2091,681];4417.41;0.794251;5011.3;20
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;18;1707;672;[1668,636,1746,709];3687.21;0.876965;4402.32;21
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;19;2122;706;[2095,675,2154,741];3457.53;0.706177;3220.56;22
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;20;1755;725;[1725,687,1786,758];3093.07;0.780864;2984.21;23
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;21;1360;749;[1328,717,1396,784];3808.97;0.80586;3641.1;24
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;22;263;826;[241,797,286,853];3652.82;0.821695;2121.84;25
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;23;1128;871;[1074,828,1173,917];4005.62;0.796928;6804.17;26
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;24;1647;895;[1603,844,1692,939];3930.73;0.833034;6273.98;27
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;25;1247;888;[1215,851,1279,925];3525.57;0.727542;3443.07;28
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;26;2137;895;[2113,871,2158,926];2589.64;0.722617;1808.84;29
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;27;455;927;[410,883,492,979];4639.2;0.749219;5587.28;30
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;28;1767;998;[1728,960,1809,1038];4004.48;0.859465;5129.48;31
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;29;2060;1070;[1994,1025,2104,1115];3777.66;0.815359;7815.59;32
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;30;276;1123;[237,1088,314,1160];4669.15;0.838409;4283.08;33
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;31;2120;1168;[2073,1110,2160,1216];3877.47;0.800669;6903.18;34
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;32;1825;1163;[1791,1128,1860,1207];3614.21;0.804877;4227.72;35
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;33;919;1413;[896,1388,945,1444];2997.05;0.831228;2064.35;36
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;34;310;1533;[274,1496,345,1571];3802.31;0.804173;4324.6;37
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;35;1419;1530;[1396,1504,1442,1555];3064.98;0.742438;1829.07;38
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;36;1689;1802;[1661,1774,1720,1832];3355.13;0.772654;2741.47;39
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O24;15;24;1;1;37;484;1840;[434,1809,521,1874];4017.26;0.767274;4183;40
