ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;1;563;54;[537,32,585,78];2085.5;0.562703;1474.54;5
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;2;1997;89;[1962,49,2030,131];2556.57;0.737312;3757.15;6
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;3;1484;129;[1441,85,1517,163];2665.84;0.594895;4021.18;7
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;4;1511;253;[1411,126,1613,336];2269.02;0.394786;25281.1;8
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;5;99;167;[62,121,160,221];2278.43;0.599938;5332.83;9
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;6;1932;161;[1905,136,1957,194];2307.16;0.59672;2241.09;10
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;7;566;211;[536,153,603,241];2771.45;0.553808;4024.37;12
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;8;2128;204;[2097,161,2164,246];2274.94;0.640647;3689.01;13
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;9;127;216;[84,182,176,277];2361.72;0.676775;5341.34;14
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;10;608;341;[567,315,630,386];2292.87;0.385877;2341.16;16
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;11;487;382;[444,325,525,480];2720.43;0.456677;8005.09;17
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;12;265;416;[230,351,299,447];2522.11;0.564846;4722.78;18
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;13;1257;428;[1204,389,1307,467];2284;0.464175;5029.4;19
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;14;1593;451;[1543,429,1627,475];2217.27;0.407578;2782.99;20
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;15;1310;494;[1287,468,1334,519];2255.63;0.345657;1539.48;21
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;16;31;579;[8,551,57,616];2103.72;0.63415;2146.33;22
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;17;442;592;[378,555,470,628];2347.32;0.422531;4089.32;23
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;18;1296;596;[1237,559,1332,634];2573.54;0.579985;5015.56;24
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;19;840;624;[773,587,893,657];2476.85;0.445212;5021.95;25
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;20;1921;637;[1885,602,1955,698];2490.34;0.47455;4553.5;26
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;21;1062;680;[1026,632,1097,716];2661.35;0.681492;4237.3;27
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;22;1007;663;[978,631,1037,691];2498.76;0.733857;2586.03;28
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;23;247;681;[189,652,279,750];2209.7;0.381876;4409.78;29
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;24;1368;699;[1336,651,1400,734];2404.16;0.550131;3495.24;30
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;25;1128;751;[1079,691,1179,799];2785.2;0.658717;7437.64;31
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;26;535;778;[458,739,573,821];2271.32;0.384897;5644.77;32
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;27;727;779;[690,743,783,824];2479.1;0.544882;4812.21;33
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;28;1507;800;[1482,772,1539,831];2295.99;0.448077;2204.89;34
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;29;477;841;[441,817,502,889];2156.14;0.351878;2120.78;35
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;30;774;843;[756,823,798,865];2207.55;0.432908;1079.55;36
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;31;698;905;[671,873,729,936];2511.78;0.572419;2811.74;37
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;32;627;921;[580,881,654,970];2571.41;0.511882;4096.77;38
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;33;762;915;[730,886,800,962];2507.33;0.594019;3734.79;39
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;34;1946;1005;[1909,951,1990,1033];2327.67;0.370002;3876.39;40
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;35;2107;1063;[2074,1008,2146,1102];2735.37;0.571561;5315.79;41
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;36;267;1079;[249,1051,287,1100];2172.79;0.564427;1322.29;42
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;37;289;1137;[246,1075,323,1186];2311.98;0.459228;4809.02;43
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;38;1594;1151;[1547,1107,1628,1182];2397.92;0.459468;3930.68;44
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;39;174;1154;[141,1115,212,1192];2189.25;0.524174;3530.38;45
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;40;84;1185;[53,1151,112,1231];2149.98;0.549683;2831.97;46
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;41;1260;1196;[1239,1173,1277,1237];2537.46;0.625295;1641.69;47
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;42;1203;1232;[1158,1177,1251,1288];2916.9;0.552461;6194.13;48
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;43;383;1210;[355,1182,439,1250];2639.71;0.533682;3723.08;49
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;44;1954;1261;[1853,1199,2016,1334];2893.09;0.648801;13632.8;50
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;45;325;1320;[285,1270,354,1361];2489.63;0.565147;3986.04;51
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;46;383;1300;[347,1266,418,1347];2835.7;0.734751;3976.46;52
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;47;1266;1325;[1239,1298,1294,1349];2260.83;0.361746;1534.16;53
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;48;548;1445;[518,1400,608,1505];2676.22;0.495709;5817.24;54
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;49;459;1483;[430,1449,482,1510];2199.91;0.416263;1894.01;55
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;50;1998;1519;[1949,1461,2042,1553];2327.69;0.439488;5535.11;56
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;51;281;1539;[229,1509,314,1574];2254.65;0.413098;3389.84;57
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;52;978;1661;[919,1621,1029,1719];2711.57;0.509356;6299.53;58
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;53;385;1680;[347,1647,427,1731];2907.66;0.634254;4134.03;59
210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P1;16;1;1;1;54;834;1730;[800,1700,863,1767];2995.91;0.679182;3219.5;60
