;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;1;776;60;[752,37,800,103];2501.79;0.465734;1914.24;3;BiniVino120;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;2;2094;58;[2064,34,2120,75];1993.65;0.684998;1422.37;4;BiniVino120;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;3;2009;82;[1977,54,2028,162];2125.78;0.320513;2946.95;5;BiniVino120;False;dead
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;4;229;136;[191,66,294,173];2056.95;0.417502;4690.84;6;BiniVino120;False;dead
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;5;370;95;[340,73,396,123];2522.53;0.643832;1944.05;7;BiniVino120;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;6;171;203;[146,175,209,233];2231.55;0.588509;2542.38;8;BiniVino120;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;7;2052;232;[2022,211,2070,276];2111.04;0.462742;1881.23;9;BiniVino120;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;8;1987;353;[1936,317,2022,394];2856.63;0.574181;3965.82;11;BiniVino120;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;9;347;412;[313,358,388,455];2396.76;0.522664;4548.18;12;BiniVino120;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;10;478;557;[440,511,520,585];2331.14;0.391753;3442.01;13;BiniVino120;False;dead
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;11;270;590;[209,567,299,620];2089.14;0.350063;2340.1;14;BiniVino120;False;dead
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;12;1959;639;[1935,586,1979,663];2367.46;0.405633;2110.13;15;BiniVino120;False;dead
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;13;981;638;[957,616,1033,699];2168.16;0.365476;2854.32;16;BiniVino120;False;dead
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;14;1344;744;[1319,699,1383,788];2198.14;0.406251;3039.57;18;BiniVino120;False;dead
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;15;1232;762;[1194,723,1259,797];2198.32;0.45467;2772.35;19;BiniVino120;False;dead
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;16;1038;755;[1002,720,1087,785];2501.66;0.498585;3586.8;20;BiniVino120;False;dead
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;17;1168;748;[1151,730,1201,782];2163.39;0.470883;1441.53;21;BiniVino120;False;dead
17;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;18;1647;781;[1618,741,1675,833];2543.24;0.588969;3610.22;22;BiniVino120;False;dead
18;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;19;295;837;[269,807,321,859];2174.48;0.327025;1454.31;23;BiniVino120;False;dead
19;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;20;1277;859;[1247,814,1313,885];2283.55;0.602648;2642.46;24;BiniVino120;False;dead
20;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I19;9;19;1;1;21;431;996;[394,978,469,1027];2151.3;0.409229;2179.34;25;BiniVino120;False;dead
