;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;1;1668;36;[1630,2,1705,73];2611.14;0.747749;4386.35;1;Bini;True;alive
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;2;1314;44;[1274,5,1363,85];3087.72;0.853826;5723.55;2;Bini;True;alive
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;3;323;75;[275,25,374,125];2740.98;0.794789;8120.08;3;Bini;True;alive
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;4;1162;118;[1123,91,1208,163];2296.58;0.419671;3489.92;4;Bini;False;dead
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;5;626;158;[589,120,673,201];2997.16;0.655028;5373.28;6;Bini;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;6;227;207;[186,155,269,247];2559.96;0.710884;5556.4;7;Bini;True;alive
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;7;1858;212;[1807,162,1924,255];2732.81;0.669996;7039.46;8;Bini;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;8;1053;263;[1018,226,1090,306];2763.57;0.677914;4318.22;9;Bini;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;9;1429;262;[1393,229,1467,302];2534.23;0.591018;3703.91;10;Bini;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;10;705;303;[671,262,742,356];2684.81;0.567233;4310.76;11;Bini;False;dead
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;11;1032;352;[997,316,1066,388];2892.45;0.636837;3757.15;12;Bini;False;dead
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;12;344;366;[310,335,383,403];2641.6;0.60206;3767.79;13;Bini;False;dead
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;13;1290;395;[1256,361,1324,444];2710.79;0.639756;4362.93;14;Bini;False;dead
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;14;1519;421;[1472,370,1581,474];3232.13;0.793852;8244.64;15;Bini;True;alive
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;15;469;421;[423,385,511,459];2689.23;0.619778;4638.67;16;Bini;False;dead
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;16;1805;480;[1769,446,1839,517];2567.1;0.596687;3614.48;17;Bini;False;dead
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;17;1681;504;[1646,474,1712,538];2662.64;0.579931;3403.68;18;Bini;False;dead
17;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;18;339;590;[297,555,380,656];2464.32;0.558638;5655.41;19;Bini;False;dead
18;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;19;1496;604;[1461,569,1534,639];3015.24;0.66696;3973.27;20;Bini;False;dead
19;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;20;81;625;[37,575,124,671];2436.13;0.692827;6194.13;21;Bini;False;dead
20;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A19;1;19;1;1;21;716;666;[670,624,771,726];2907.09;0.708717;7498.32;22;Bini;True;alive
