;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;1;2121;600;[2106,588,2153,628];3180.17;0.53155;1178.57;1;LapaBiniVino120;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;2;695;772;[668,757,715,827];3438.64;0.495017;1901.46;2;LapaBiniVino120;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;3;848;27;[827,8,874,57];3553.61;0.631158;1480.93;5;LapaBiniVino120;False;dead
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;4;486;42;[460,21,508,66];3412.14;0.637191;1487.31;7;LapaBiniVino120;False;dead
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;5;930;47;[887,27,978,89];3377.36;0.427373;3370.68;8;LapaBiniVino120;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;6;325;141;[306,119,351,174];3383.13;0.65737;1635.3;9;LapaBiniVino120;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;7;777;159;[737,131,808,205];3855.2;0.620428;3302.54;10;LapaBiniVino120;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;8;277;162;[259,149,307,184];3191.68;0.671057;1151.95;11;LapaBiniVino120;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;9;1881;194;[1864,176,1902,219];2966.95;0.5014;1043.36;12;LapaBiniVino120;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;10;473;231;[446,196,503,259];4444.14;0.713822;2515.76;13;LapaBiniVino120;True;alive
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;11;550;236;[513,218,587,280];3524.8;0.46998;2655.23;14;LapaBiniVino120;False;dead
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;12;684;254;[657,221,709,289];3784.6;0.42731;2325.19;15;LapaBiniVino120;False;dead
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;13;203;277;[170,258,233,297];3634.54;0.540629;1645.95;16;LapaBiniVino120;False;dead
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;14;460;345;[445,310,489,360];3140.97;0.526768;1329.75;17;LapaBiniVino120;False;dead
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;15;202;375;[171,310,234,406];3830.84;0.458752;3504.82;18;LapaBiniVino120;False;dead
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;16;1425;436;[1374,384,1484,482];4285.02;0.643821;7046.91;19;LapaBiniVino120;False;dead
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;17;1657;421;[1614,391,1714,463];4239.54;0.484643;4141.48;20;LapaBiniVino120;False;dead
17;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;18;1289;428;[1267,402,1319,458];3750.47;0.579189;1991.96;21;LapaBiniVino120;False;dead
18;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;19;304;456;[281,419,333,475];3433.22;0.592518;1783.29;22;LapaBiniVino120;False;dead
19;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;20;751;444;[727,419,786,479];3853.76;0.505022;2120.78;23;LapaBiniVino120;False;dead
20;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;21;266;488;[230,425,320,562];3712.84;0.522305;7099.08;24;LapaBiniVino120;False;dead
21;21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;22;905;464;[844,429,943,512];4191.18;0.64109;5659.67;25;LapaBiniVino120;False;dead
22;22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;23;2104;488;[2023,440,2144,524];3129.99;0.266066;4061.63;26;LapaBiniVino120;False;dead
23;23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;24;694;499;[659,453,744,542];3770.58;0.547336;4743.01;27;LapaBiniVino120;False;dead
24;24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;25;1935;482;[1897,456,1962,526];3581.79;0.423246;2500.86;28;LapaBiniVino120;False;dead
25;25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;26;653;505;[630,490,671,523];3543.49;0.655358;1050.81;29;LapaBiniVino120;False;dead
26;26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;27;1451;575;[1427,549,1477,600];3328.8;0.307777;1528.84;30;LapaBiniVino120;False;dead
27;27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;28;446;573;[417,549,480,599];4252.0;0.699775;2165.5;31;LapaBiniVino120;True;alive
28;28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;29;1885;576;[1849,551,1908,645];3610.02;0.420692;2757.44;32;LapaBiniVino120;False;dead
29;29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;30;492;594;[470,558,507,619];3590.39;0.742283;1624.65;33;LapaBiniVino120;True;alive
30;30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;31;1545;598;[1514,567,1579,644];2830.19;0.158663;2195.31;34;LapaBiniVino120;False;dead
31;31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;32;1091;624;[1068,601,1148,673];3565.71;0.453633;3166.27;35;LapaBiniVino120;False;dead
32;32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;33;2148;652;[2118,628,2183,679];3844.28;0.674647;2465.73;36;LapaBiniVino120;False;dead
33;33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;34;148;657;[132,631,165,683];3777.49;0.790689;1392.56;37;LapaBiniVino120;True;alive
34;34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;35;2043;707;[2011,677,2095,746];3028.84;0.415861;3319.57;38;LapaBiniVino120;False;dead
35;35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;36;1075;757;[1033,711,1092,779];3383.57;0.35646;2050.51;39;LapaBiniVino120;False;dead
36;36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;37;1583;748;[1546,712,1642,783];4327.77;0.545271;4509.85;40;LapaBiniVino120;False;dead
37;37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;38;645;768;[618,744,689,812];3865.8;0.632719;2930.98;41;LapaBiniVino120;False;dead
38;38;38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;39;2027;841;[2001,781,2049,875];3482.54;0.490736;2677.59;42;LapaBiniVino120;False;dead
39;39;39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;40;1326;834;[1294,800,1349,857];2923.95;0.369309;1911.04;43;LapaBiniVino120;False;dead
40;40;40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;41;97;837;[54,810,133,879];3200.99;0.457261;2918.2;44;LapaBiniVino120;False;dead
41;41;41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;42;361;848;[316,819,387,884];3673.13;0.533605;2758.5;45;LapaBiniVino120;False;dead
42;42;42;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;43;646;883;[618,850,685,920];3731.03;0.545905;2491.28;46;LapaBiniVino120;False;dead
43;43;43;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;44;607;914;[579,887,636,964];3599.74;0.49885;2309.22;47;LapaBiniVino120;False;dead
44;44;44;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;45;125;907;[104,891,152,930];3267.38;0.712047;1303.13;48;LapaBiniVino120;True;alive
45;45;45;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;46;294;931;[275,907,365,986];3159.67;0.499014;3365.35;50;LapaBiniVino120;False;dead
46;46;46;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;47;1766;1002;[1714,968,1791,1050];3196.84;0.452075;3520.79;51;LapaBiniVino120;False;dead
47;47;47;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;48;917;1073;[886,1043,969,1100];4095.16;0.594278;3144.97;52;LapaBiniVino120;False;dead
48;48;48;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;49;1629;1107;[1591,1062,1669,1184];3461.29;0.583959;5989.71;53;LapaBiniVino120;False;dead
49;49;49;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;50;70;1119;[45,1088,103,1144];4262.51;0.779831;2102.68;54;LapaBiniVino120;True;alive
50;50;50;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;51;554;1130;[525,1091,588,1160];4072.94;0.616728;2657.36;55;LapaBiniVino120;False;dead
51;51;51;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;52;454;1145;[427,1126,493,1198];3478.35;0.533758;2740.41;56;LapaBiniVino120;False;dead
52;52;52;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;53;2058;1158;[2041,1138,2077,1179];3447.67;0.608406;1036.97;57;LapaBiniVino120;False;dead
53;53;53;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I1;9;1;1;1;54;250;1225;[216,1207,273,1252];3165.25;0.598021;1657.66;58;LapaBiniVino120;False;dead
