;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;1;1255;30;[1231,5,1281,56];3398.3;0.659287;1789.67;4;LapaBini;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;2;667;54;[635,22,700,90];4666.1;0.835152;3541.02;5;LapaBini;True;alive
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;3;547;84;[514,46,587,118];4643.17;0.828623;3955.17;6;LapaBini;True;alive
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;4;472;89;[434,59,503,121];4325.88;0.804114;3197.14;7;LapaBini;True;alive
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;5;767;119;[732,83,803,156];5681.41;0.923854;4260.72;8;LapaBini;True;alive
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;6;847;144;[820,114,873,175];4632.26;0.796368;2507.25;9;LapaBini;True;alive
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;7;808;350;[772,318,852,389];4135.04;0.688009;3951.98;10;LapaBini;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;8;224;377;[194,334,256,408];3825.5;0.77839;3551.67;11;LapaBini;True;alive
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;9;1099;365;[1067,334,1131,401];5030.3;0.807922;3405.81;12;LapaBini;True;alive
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;10;1665;411;[1640,387,1695,436];4292.15;0.859007;2158.04;13;LapaBini;True;alive
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;11;737;489;[697,450,779,530];5595.11;0.963227;5416.93;14;LapaBini;True;alive
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;12;1044;512;[985,467,1086,550];5784.51;0.906728;6500.75;15;LapaBini;True;alive
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;13;2086;507;[2052,477,2121,540];4265.65;0.84932;3513.34;16;LapaBini;True;alive
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;14;934;524;[881,477,979,563];4389.77;0.749589;5372.22;17;LapaBini;True;alive
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;15;701;541;[671,509,738,574];4670.88;0.94006;3340.87;18;LapaBini;True;alive
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;16;1440;559;[1409,529,1476,592];4538.82;0.839523;3508.02;19;LapaBini;True;alive
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A1;1;1;1;1;17;528;559;[497,530,567,591];4399.56;0.827123;3676.23;20;LapaBini;True;alive
