;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;1;819;2022;[805,2009,873,2053];2289.91;0.11196;1200.92;1;LapaVino120;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;2;643;82;[499,3,715,168];2606.85;0.366968;17654.0;5;LapaVino120;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;3;1913;96;[1881,70,1946,128];3017.66;0.51795;2361.39;6;LapaVino120;False;dead
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;4;896;96;[872,71,917,124];4046.76;0.614396;1766.25;7;LapaVino120;False;dead
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;5;1410;131;[1385,100,1439,158];4340.98;0.532123;1979.18;8;LapaVino120;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;6;971;217;[940,194,1011,246];4120.15;0.538129;2583.9;9;LapaVino120;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;7;2124;275;[2082,193,2166,354];3748.26;0.478487;7473.83;10;LapaVino120;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;8;898;288;[879,259,924,314];4370.12;0.486942;1517.12;11;LapaVino120;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;9;2156;315;[2129,281,2178,347];3325.62;0.649145;1989.83;12;LapaVino120;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;10;972;319;[936,283,997,351];4376.75;0.465423;2180.4;13;LapaVino120;False;dead
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;11;1774;319;[1740,293,1810,355];4006.84;0.632244;2996.99;14;LapaVino120;False;dead
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;12;335;431;[243,391,377,501];3600.69;0.479415;8001.9;15;LapaVino120;False;dead
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I17;9;17;1;1;13;1372;433;[1327,392,1419,474];4259.47;0.538766;4853.73;16;LapaVino120;False;dead
