;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;1;676;127;[640,93,712,164];4322.06;0.898244;4205.36;4;Lapa;True;alive
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;2;1846;180;[1770,95,1902,225];4999.29;0.808354;10845.6;5;Lapa;True;alive
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;3;43;125;[19,101,71,152];3814.31;0.870244;2180.4;6;Lapa;True;alive
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;4;817;172;[777,130,857,224];4895.46;0.864539;5764.01;7;Lapa;True;alive
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;5;2096;170;[2073,151,2118,201];3746.43;0.892362;1832.26;8;Lapa;True;alive
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;6;1632;203;[1593,170,1665,238];4474.81;0.906506;3898.74;9;Lapa;True;alive
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;7;420;258;[382,229,452,287];4028.48;0.881918;3243.98;10;Lapa;True;alive
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;8;1451;296;[1390,240,1502,347];5626.07;0.812736;9446.63;11;Lapa;True;alive
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;9;934;257;[894,229,965,287];3806.27;0.68749;2685.04;12;Lapa;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;10;2066;267;[2030,234,2121,305];4198.61;0.86832;5222.1;13;Lapa;True;alive
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;11;823;283;[782,242,870,331];5166.72;0.850404;6065.3;14;Lapa;True;alive
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;12;1537;301;[1505,270,1574,333];4365.65;0.860522;3494.18;15;Lapa;True;alive
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;13;1895;321;[1853,280,1937,364];4748.01;0.950095;5787.43;16;Lapa;True;alive
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;14;186;312;[154,283,219,341];3980.48;0.879557;2943.75;17;Lapa;True;alive
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;15;2006;340;[1960,293,2055,386];5267.0;0.957071;7204.48;18;Lapa;True;alive
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;16;1483;371;[1449,335,1518,404];4922.08;0.877926;3826.35;19;Lapa;True;alive
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;17;1254;386;[1217,354,1286,418];4841.59;0.858978;3549.54;20;Lapa;True;alive
17;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;18;135;394;[99,358,182,432];4313.75;0.921819;5182.71;21;Lapa;True;alive
18;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;19;1414;395;[1379,365,1445,434];3911.77;0.760466;3239.73;22;Lapa;True;alive
19;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;20;346;431;[287,374,402,485];4899.2;0.879175;9464.73;23;Lapa;True;alive
20;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;21;1803;414;[1746,377,1844,453];5086.12;0.911055;6226.07;24;Lapa;True;alive
21;21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A17;1;17;1;1;22;1245;456;[1202,415,1286,500];5237.87;0.860895;5764.01;25;Lapa;True;alive
