;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;1;790;73;[731,9,852,156];2894.37;0.582789;9360.39;7;Navi;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;2;1792;47;[1746,16,1825,95];2381.97;0.523297;4435.33;8;Navi;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;3;628;61;[571,27,699,106];2415.99;0.570841;6662.57;9;Navi;False;dead
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;4;1254;84;[1215,44,1291,126];2796.2;0.736344;4730.23;10;Navi;True;alive
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;5;625;136;[595,88,660,171];2625.41;0.666847;3805.05;12;Navi;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;6;546;172;[512,113,598,216];2546.54;0.500941;5835.34;13;Navi;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;7;1457;175;[1410,126,1523,229];2399.92;0.489611;8433.08;14;Navi;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;8;1346;200;[1297,158,1389,251];2415.54;0.475483;6478.39;15;Navi;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;9;461;276;[404,216,536,344];3482.28;0.717658;13699.9;16;Navi;True;alive
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;10;1104;275;[1039,233,1150,325];2848.8;0.748555;7968.9;17;Navi;True;alive
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;11;1900;276;[1854,233,1943,317];2326.33;0.516324;6182.42;18;Navi;False;dead
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;12;779;317;[749,270,811,350];2836.5;0.594008;4062.7;19;Navi;False;dead
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;13;649;350;[607,307,689,417];3019.73;0.626224;6283.56;20;Navi;False;dead
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;14;1891;333;[1872,316,1913,353];2213.65;0.58566;1145.56;21;Navi;False;dead
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;15;85;362;[41,325,131,402];2380.23;0.505508;4288.41;22;Navi;False;dead
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;16;924;393;[880,334,957,446];2649.07;0.4624;4657.84;23;Navi;False;dead
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;17;1077;352;[1020,329,1095,388];2334.55;0.309248;1999.41;25;Navi;False;dead
17;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;18;1643;439;[1576,375,1704,509];3587.75;0.805481;12958.9;27;Navi;True;alive
18;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;19;1054;460;[992,409,1138,523];2599.25;0.364207;8456.51;28;Navi;False;dead
19;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;20;1728;471;[1692,421,1767,513];2824.77;0.745652;5288.11;29;Navi;True;alive
20;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;21;1506;525;[1432,460,1551,572];2564.12;0.501526;7472.77;30;Navi;False;dead
21;21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;22;270;531;[210,476,406,600];2878.78;0.530304;14885.9;31;Navi;False;dead
22;22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;23;475;575;[438,539,535,610];2861.87;0.54864;4839.89;33;Navi;False;dead
23;23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;24;1736;596;[1662,547,1776,645];2090.13;0.101231;4327.8;34;Navi;False;dead
24;24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;25;1917;589;[1867,552,1951,619];2664.2;0.605664;4062.7;35;Navi;False;dead
25;25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;26;902;663;[825,565,1008,705];3026.23;0.413695;13497.6;36;Navi;False;dead
26;26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A21;1;21;1;1;27;1489;634;[1437,594,1539,693];2771.76;0.707534;6724.32;37;Navi;True;alive
