;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;1;338;591;[322,546,350,630];2081.46;0.243466;1040.16;1;Neg_ctrl;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;2;101;45;[70,3,168,83];2357.27;0.65751;5278.53;7;Neg_ctrl;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;3;1628;57;[1582,21,1665,97];2906.74;0.700693;4534.34;9;Neg_ctrl;True;alive
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;4;1390;138;[1353,105,1425,171];2763.16;0.75097;3753.95;10;Neg_ctrl;True;alive
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;5;664;226;[637,192,688,252];2472.23;0.47949;1669.37;11;Neg_ctrl;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;6;1567;238;[1544,201,1597,264];2480.69;0.52459;2065.42;12;Neg_ctrl;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;7;1958;263;[1878,221,2022,334];2760.74;0.660563;9125.1;13;Neg_ctrl;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;8;706;254;[685,233,728,282];2469.06;0.554477;1528.84;14;Neg_ctrl;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;9;776;310;[748,280,818,346];2437.03;0.513527;2416.75;15;Neg_ctrl;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I23;9;23;1;1;10;1357;352;[1302,299,1412,410];2658.21;0.632582;8364.95;16;Neg_ctrl;False;dead
