;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;1;1893;107;[1880,71,1925,122];2717.97;0.416943;1161.53;1;Vino120;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;2;390;672;[375,643,423,691];2131.33;0.388664;1115.75;2;Vino120;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;3;81;1044;[37,1034,90,1076];2527.54;0.389442;1138.11;3;Vino120;False;dead
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;4;536;46;[505,3,563,69];2838.82;0.56934;2185.72;5;Vino120;False;dead
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;5;833;35;[802,10,874,56];2460.82;0.538524;1885.49;6;Vino120;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;6;1554;35;[1537,19,1579,58];2880.44;0.544152;1009.29;7;Vino120;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;7;1947;78;[1919,52,1971,95];2662.62;0.474433;1248.83;8;Vino120;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;8;1552;77;[1518,67,1564,118];2909.25;0.373894;1353.17;9;Vino120;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;9;1852;176;[1797,134,1906,268];2655.53;0.383266;7086.3;10;Vino120;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;10;1187;192;[1160,172,1221,248];2286.77;0.363903;2528.54;11;Vino120;False;dead
10;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;11;2011;245;[1983,217,2041,279];3191.83;0.705786;2422.08;12;Vino120;True;alive
11;11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;12;1961;281;[1917,248,1992,352];3037.66;0.590695;5168.87;13;Vino120;False;dead
12;12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;13;455;280;[430,257,480,302];2160.26;0.66613;1545.87;14;Vino120;False;dead
13;13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;14;1571;377;[1548,347,1603,409];2678.92;0.693122;2152.72;15;Vino120;False;dead
14;14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;15;1372;403;[1356,388,1415,434];2335.49;0.303332;1246.7;16;Vino120;False;dead
15;15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;16;692;412;[673,386,710,434];2034.29;0.536363;1058.26;17;Vino120;False;dead
16;16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;17;932;420;[907,397,961,450];2611.55;0.65869;1768.38;18;Vino120;False;dead
17;17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;18;1899;522;[1875,488,1921,540];2470.07;0.25151;1178.57;19;Vino120;False;dead
18;18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;19;2029;574;[2001,528,2058,607];2197.89;0.160324;2057.97;20;Vino120;False;dead
19;19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;20;1748;600;[1707,550,1791,670];2484.0;0.622118;7177.86;21;Vino120;False;dead
20;20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;21;300;604;[282,581,321,622];2177.42;0.771573;1106.17;22;Vino120;True;alive
21;21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;22;1958;825;[1930,792,2019,856];2311.24;0.468887;3275.92;23;Vino120;False;dead
22;22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;23;2041;878;[2024,860,2091,909];2462.08;0.41227;1971.73;24;Vino120;False;dead
23;23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;24;1220;885;[1202,869,1252,915];2134.23;0.506244;1458.57;25;Vino120;False;dead
24;24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;25;161;950;[108,908,199,1006];2391.2;0.499427;4888.87;26;Vino120;False;dead
25;25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;26;2153;1121;[2103,1101,2169,1146];2191.14;0.444601;1770.51;27;Vino120;False;dead
26;26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;27;1961;1282;[1893,1243,1985,1319];2428.55;0.427665;3778.44;28;Vino120;False;dead
27;27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;28;1069;1301;[1050,1278,1085,1332];2358.66;0.487966;1124.27;29;Vino120;False;dead
28;28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;29;1796;1425;[1746,1372,1846,1487];1989.83;0.455836;9026.09;30;Vino120;False;dead
29;29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;30;1321;1461;[1305,1440,1372,1483];2308.98;0.440178;1615.07;31;Vino120;False;dead
30;30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;31;230;1545;[199,1523,249,1563];2491.59;0.499622;1060.39;32;Vino120;False;dead
31;31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;32;280;1583;[270,1572,324,1617];2119.74;0.235855;1077.42;33;Vino120;False;dead
32;32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;33;1172;1783;[1139,1751,1200,1813];2302.11;0.412842;2394.4;34;Vino120;False;dead
33;33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;34;1130;1891;[1105,1848,1159,1908];2045.61;0.320938;1780.09;35;Vino120;False;dead
34;34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;35;881;1936;[819,1918,900,1973];2338.53;0.303287;2226.18;36;Vino120;False;dead
35;35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;36;753;2004;[710,1975,775,2029];2347.66;0.465469;1927.01;37;Vino120;False;dead
36;36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;37;1852;78;[1823,53,1880,103];2633.13;0.392773;2012.19;39;Vino120;False;dead
37;37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;38;1828;527;[1792,504,1848,550];2700.84;0.402392;1223.28;40;Vino120;False;dead
38;38;38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;39;1252;643;[1228,625,1275,659];1951.63;0.342737;1017.8;41;Vino120;False;dead
40;40;40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M21;13;21;1;1;41;1924;1122;[1899,1098,1949,1147];2308.49;0.479268;1559.71;44;Vino120;False;dead
41;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;1;789;300;[754,275,807,318];2438.94;0.377518;1116.82;1;Vino120;False;dead
42;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;2;1909;478;[1862,466,1922,506];2268.06;0.536656;1274.38;2;Vino120;False;dead
43;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;3;1020;484;[1003,468,1044,506];2359.62;0.602496;1114.69;3;Vino120;False;dead
44;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;4;1889;72;[1850,39,1966,112];2535.46;0.572931;6137.7;5;Vino120;False;dead
45;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;5;1569;70;[1553,44,1608,88];2516.26;0.348725;1181.76;6;Vino120;False;dead
46;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;6;1419;162;[1386,132,1477,193];2783.96;0.448082;3548.47;7;Vino120;False;dead
47;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;7;273;181;[238,159,299,229];2292.39;0.347584;2627.55;8;Vino120;False;dead
48;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;8;804;254;[785,221,862,271];2570.91;0.379816;2423.14;9;Vino120;False;dead
49;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;9;700;297;[674,272,736,342];2474.9;0.457046;2794.7;10;Vino120;False;dead
50;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;10;2141;346;[2095,298,2186,387];2325.42;0.547227;4819.66;11;Vino120;False;dead
51;10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M22;13;22;1;1;11;1944;429;[1925,412,1962,454];2586.04;0.713215;1173.24;12;Vino120;True;alive
