;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
0;0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;1;1259;88;[1200,25,1314,136];3425.04;0.685356;8620.46;3;VinoLapa175Bini175;False;dead
1;1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;2;1726;111;[1687,83,1766,145];2704.66;0.555425;2446.56;4;VinoLapa175Bini175;False;dead
2;2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;3;1534;149;[1512,120,1563,214];2659.05;0.589064;3055.54;6;VinoLapa175Bini175;False;dead
3;3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;4;300;185;[281,163,335,206];2613.76;0.520081;1464.96;7;VinoLapa175Bini175;False;dead
4;4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;5;1339;190;[1316,163,1363,239];2759.41;0.61406;2878.81;8;VinoLapa175Bini175;False;dead
5;5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;6;1082;270;[1059,249,1112,295];2574.84;0.618814;1665.11;9;VinoLapa175Bini175;False;dead
6;6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;7;1060;334;[1025,295,1104,384];2898.84;0.630455;5010.24;10;VinoLapa175Bini175;False;dead
7;7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;8;1467;337;[1422,308,1496,373];2710.63;0.60006;3149.23;11;VinoLapa175Bini175;False;dead
8;8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;9;507;405;[471,367,546,439];2797.67;0.655967;3675.17;12;VinoLapa175Bini175;False;dead
9;9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A23;1;23;1;1;10;115;412;[88,384,154,445];2700.63;0.550715;1903.59;14;VinoLapa175Bini175;False;dead
