;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;1;992;308;[719,20,1464,699];3248.86;0.22539;339516.0;3
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;2;1624;89;[1595,63,1652,115];3036.34;0.603442;2243.21;4
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;3;1892;177;[1850,118,1936,221];3657.1;0.700053;6120.67;5
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;4;1658;162;[1623,128,1713,197];4270.12;0.873282;4791.98;6
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;5;732;187;[698,153,769,222];4008.67;0.691028;3894.49;7
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;6;1972;196;[1933,152,2010,240];3796.59;0.772132;4879.29;8
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;7;137;206;[95,178,190,243];2959.4;0.652541;4191.52;9
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;8;1621;238;[1562,187,1689,308];5127.38;0.773507;10096.1;10
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;9;456;235;[420,200,500,271];3042.98;0.568436;4173.42;11
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;10;2087;263;[2051,231,2127,298];3402.53;0.71534;3917.91;12
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;11;1497;289;[1451,236,1549,340];3624.75;0.669301;6914.89;13
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;12;678;330;[642,294,719,370];4517.35;0.861279;4601.41;14
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;13;1862;342;[1751,304,1903,402];4413.52;0.713199;9594.61;15
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;14;578;414;[536,372,622,456];5264.1;0.919752;5958.84;16
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;15;193;430;[151,393,237,468];3627.81;0.801875;4835.63;18
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;16;441;464;[397,428,479,500];3948.43;0.783479;4716.39;19
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;17;172;515;[138,482,206,548];3235.8;0.754384;3571.9;20
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A14;1;14;1;1;18;1117;519;[1080,486,1156,554];4589.52;0.754184;4484.3;21
