;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;1;470;67;[425";24;541;"108];3550.57;0.716729;6953.22;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;2;1311;63;[1268";17;1354;"112];5048.64;0.868947;6298.46;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;3;2156;132;[2116";93;2200;"172];4307.91;0.965684;5441.42;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;4;856;152;[818";117;891;"190];4472.99;0.721574;4066.96;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;5;964;159;[923";124;1001;"199];4409.09;0.780391;4684.45;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;6;750;215;[715";183;783;"258];3530.4;0.429762;3563.38;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;7;634;299;[600";265;672;"334];4172.5;0.7438;3905.13;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;8;1792;316;[1750";274;1832;"356];4911.56;0.879248;5590.47;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;9;510;384;[469";344;551;"434];4959.09;0.858663;5611.76;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;10;672;387;[633";349;711;"427];5253.37;0.92292;5150.77;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;11;406;404;[384";382;435;"425];2885.76;0.721882;1666.18;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;12;1379;421;[1313";376;1421;"465];4802.74;0.736548;6755.2;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;13;343;478;[288";431;395;"527];5875.55;0.931826;8281.9;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;14;1528;502;[1491";469;1586;"557];3540;0.653472;5611.76;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;15;1921;543;[1864";501;1964;"607];5098.56;0.893626;7640.98;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;16;962;569;[938";534;985;"588];3616.22;0.481755;1532.03;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;17;534;580;[505";546;574;"614];3613.68;0.698885;3486.72;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;18;1263;592;[1228";557;1300;"634];4738;0.729432;4362.93;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;19;878;595;[836";553;922;"640];3777.38;0.579182;5818.31;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;20;1351;659;[1310";624;1384;"732];3450.72;0.542474;5868.34;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;21;561;658;[527";624;593;"693];3206.58;0.61358;3362.16;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;22;189;707;[150";668;240;"746];3552.15;0.808429;5593.66;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;23;1136;713;[1094";672;1178;"755];5284.89;0.878653;5755.49;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;24;1861;722;[1816";682;1905;"763];4472.7;0.86189;5818.31;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;25;650;725;[617";694;686;"756];3538.77;0.586393;3234.4;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;26;1727;743;[1689";709;1764;"778];3667.57;0.754732;4194.72;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;27;914;778;[872";737;956;"825];4928.11;0.877063;5867.28;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;28;70;796;[38";764;103;"828];3109.58;0.807674;3312.12;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;29;1506;821;[1462";779;1557;"864];4520.39;0.841194;6381.5;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;30;250;875;[209";828;291;"917];4390.79;0.824871;5589.41;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;31;1404;888;[1365";853;1440;"923];4136.19;0.789876;4226.66;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;32;681;905;[642";868;724;"944];4465.59;0.876982;5108.18;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;33;377;951;[343";921;412;"982];3296.72;0.753638;3361.1;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;34;1103;993;[1058";948;1174;"1039];5916.41;0.865377;7511.1;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;35;2114;1015;[2072";973;2157;"1060];5181.57;0.946371;6218.61;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;36;1321;1078;[1279";1017;1362;"1137];4812.7;0.801092;7625.01;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;37;1651;1062;[1617";1031;1685;"1092];3649.04;0.646818;3209.92;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;38;982;1086;[944";1048;1023;"1124];4398.99;0.857302;4754.72;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;39;152;1113;[109";1067;198;"1157];4361.1;0.912445;6573.14;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;40;659;1124;[613";1089;697;"1162];3234.19;0.639508;4503.46;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;41;904;1148;[866";1107;992;"1215];4567.61;0.742604;8480.99;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;42;1843;1156;[1762";1118;1888;"1203];4176.06;0.787823;7950.8;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;43;1372;1205;[1337";1168;1420;"1239];3958.86;0.728078;4381.03;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;44;1607;1232;[1564";1195;1654;"1270];4143.71;0.823782;5377.54;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A18;1;18;1;1;45;1127;1226;[1099";1198;1158;"1274];3103.11;0.540429;3224.82;51"
