;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;1;278;68;[235,24,324,113];3307.18;0.893993;6157.93;6
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;2;1352;79;[1307,35,1439,128];3651.55;0.799269;9684.05;7
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;3;869;70;[842,42,902,97];2804.33;0.749775;2240.02;8
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;4;1555;131;[1508,49,1599,177];3422.35;0.823613;9510.51;9
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;5;490;97;[440,47,540,155];4147.91;0.906684;8746.09;10
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;6;2000;149;[1910,95,2074,211];3288.15;0.744991;13220.8;11
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;7;903;195;[856,147,967,278];3881.27;0.847624;10112.0;12
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;8;1674;238;[1654,217,1697,266];2458.02;0.734382;1595.91;14
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;9;1631;285;[1587,254,1664,333];2798.64;0.6993;4364.0;15
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;10;1187;319;[1027,272,1245,376];3896.82;0.664695;14205.6;16
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;11;1321;312;[1281,272,1363,354];3762.12;0.878185;5536.17;17
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;12;591;309;[548,267,663,358];3525.01;0.798896;7007.52;18
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;13;183;337;[90,279,304,395];4398.83;0.765213;17971.3;19
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;14;1562;302;[1540,281,1583,323];2865.71;0.894825;1442.6;20
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;15;819;354;[764,301,878,409];2878.38;0.718381;10141.8;21
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;16;699;343;[662,306,737,385];3710.92;0.902233;4666.36;22
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;17;1864;373;[1811,319,1918,428];4431.53;0.936657;9735.15;23
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;18;2078;360;[2043,326,2115,401];2951.54;0.791616;4108.48;24
18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;19;1704;461;[1634,378,1765,523];3746.65;0.786831;13558.3;25
19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;20;282;422;[238,384,337,462];3460.35;0.831937;6004.62;26
20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;21;950;422;[916,389,983,461];3630.34;0.839814;4118.06;27
21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;22;869;448;[836,410,899,479];2885.99;0.633283;3075.77;28
22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;23;1110;448;[1062,406,1142,483];3270.86;0.704855;4391.68;29
23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;24;1282;484;[1246,441,1333,532];3022.35;0.752288;5589.41;30
24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;25;187;568;[140,529,231,609];3771.55;0.880154;5816.18;31
25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;26;100;605;[37,554,148,645];3425.5;0.831752;7283.26;32
26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;27;940;665;[854,560,1000,728];4767.72;0.850934;16821.5;33
27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;28;644;605;[557,560,684,648];3631.35;0.736763;8277.64;34
28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;29;2025;595;[1993,566,2075,635];2711.38;0.7204;3934.94;35
29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;30;1356;647;[1313,599,1402,698];3962.2;0.863735;7437.64;36
30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;31;257;646;[228,623,283,671];2590.69;0.742735;1980.25;37
31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;32;81;741;[40,700,135,783];3742.68;0.90891;6293.14;38
32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;33;194;737;[157,701,239,774];3589.81;0.849051;4982.56;39
33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;34;733;749;[703,719,765,790];3284.83;0.730881;3555.93;40
34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C3;3;3;1;1;35;1991;847;[1955,812,2030,884];3425.07;0.804146;4499.21;41
