;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;1;1324;78;[1251";8;1381;"137];4894.13;0.861385;11756.9;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;2;516;89;[401";34;569;"214];5275.09;0.797558;18456.8;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;3;697;58;[676";37;720;"81];2754.36;0.88628;1574.62;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;4;567;212;[522";145;603;"252];3505.39;0.718722;5805.53;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;5;142;189;[99";148;186;"234];4033.95;0.943348;6231.39;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;6;926;197;[891";162;964;"232];3889.2;0.874143;4228.78;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;7;633;229;[601";197;666;"262];3461.26;0.859356;3387.71;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;8;746;274;[711";241;782;"322];3195.7;0.831557;4013.73;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;9;1617;288;[1577";241;1661;"351];3840.86;0.890109;7688.89;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;10;417;288;[362";243;473;"334];5115.4;0.946797;8295.74;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;11;1985;322;[1949";287;2025;"358];3852.52;0.925056;4507.72;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;12;1749;349;[1708";309;1792;"393];3950.32;0.926121;5756.56;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;13;1458;391;[1423";357;1496;"427];3680.72;0.896853;4119.13;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;14;395;396;[354";357;438;"435];4705.28;0.97894;5574.5;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;15;936;404;[905";372;967;"447];3069.26;0.825733;3315.32;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;16;1632;418;[1591";381;1670;"460];3552.77;0.929536;5001.72;20"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C6;3;6;1;1;17;1734;481;[1686";437;1782;"529];3714.69;0.869944;7288.59;22"
