;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;1;1098;50;[1050";3;1154;"100];3885.12;0.938229;7892.24;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;2;564;101;[510";50;613;"142];3672.9;0.816541;6353.82;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;3;689;126;[582";78;740;"194];4306.76;0.816232;13201.6;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;4;819;118;[774";75;865;"164];3585.48;0.914663;6697.71;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;5;966;128;[921";84;1029;"223];4609.77;0.91279;11271.4;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;6;321;134;[283";96;362;"176];3297.9;0.921727;5139.06;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;7;1088;198;[1052";160;1125;"234];3365.05;0.880682;4397;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;8;480;254;[423";207;604;"341];4977.17;0.814057;15694;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;9;1836;283;[1795";243;1879;"323];3320.53;0.858818;5283.85;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;10;798;294;[753";247;844;"343];4721.8;0.958238;7378.02;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;11;1626;380;[1566";316;1674;"438];4069.72;0.862602;9423.21;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;12;1941;359;[1903";323;1980;"398];3521.67;0.885414;4710.01;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;13;557;370;[517";333;593;"413];3711.8;0.87806;4758.98;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;14;1185;452;[1138";387;1235;"505];4475.27;0.934571;9285.87;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;15;2054;449;[2015";414;2093;"484];3606.1;0.912029;4554.57;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;16;1984;516;[1919";428;2065;"653];4380.02;0.695663;19314.9;20"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;17;1362;464;[1329";426;1395;"526];2943.85;0.725975;4487.49;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;18;1789;508;[1760";481;1821;"536];2791.31;0.882871;2870.29;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;19;845;551;[792";489;898;"631];4363.14;0.883908;12114.6;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;20;642;528;[600";493;679;"565];3312.48;0.876594;4589.7;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;21;505;588;[461";505;550;"636];4186.12;0.870613;9032.48;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;22;211;595;[172";561;251;"628];3435.09;0.902165;4352.28;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;23;1393;597;[1347";567;1434;"627];3121.19;0.791333;3941.33;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;24;1897;623;[1842";568;1964;"688];4820.93;0.913473;11349.2;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;25;667;683;[617";584;795;"735];3890.21;0.668149;16324.3;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;26;1467;628;[1421";590;1510;"667];3917.08;0.916924;5611.76;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;27;1754;631;[1717";593;1792;"679];3360.19;0.844665;5372.22;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;28;1126;682;[1048";610;1181;"738];4095.79;0.850557;11203.3;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;29;1817;709;[1783";677;1852;"742];3217.41;0.841481;3855.09;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;30;846;738;[820";715;870;"763];2696.32;0.897506;2055.84;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;31;198;828;[147";781;245;"875];4149.61;0.938255;7839.01;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;32;391;830;[342";782;445;"880];4250.41;0.962632;8716.28;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;33;1991;983;[1936";945;2035;"1024];3738.49;0.874673;6326.14;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;34;263;1012;[184";955;320;"1100];5091.2;0.897714;14542;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;35;121;1035;[73";988;192;"1082];5236.62;0.922045;8290.42;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;36;1980;1074;[1940";1038;2013;"1102];2937.72;0.726487;3185.43;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;37;1469;1165;[1421";1118;1524;"1212];4828.81;0.944345;8038.1;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;38;1622;1236;[1540";1185;1727;"1314];4783.75;0.852029;16147.5;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;39;881;1304;[836";1268;919;"1339];3509.46;0.87384;4836.7;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;40;430;1321;[388";1280;480;"1367];4130.52;0.85528;6479.45;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;41;1203;1317;[1164";1278;1261;"1357];3646.01;0.903573;6320.82;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;42;641;1333;[602";1296;682;"1378];3178.33;0.755068;4764.3;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;43;950;1351;[905";1309;1001;"1394];3939.36;0.915119;6511.39;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;44;1069;1376;[1022";1331;1120;"1420];5583.57;0.965072;7471.7;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;45;1359;1385;[1322";1349;1400;"1423];3616.68;0.836956;4821.79;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;46;1838;1579;[1799";1540;1877;"1618];3690.29;0.897206;4942.1;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;47;336;1658;[281";1610;385;"1709];5402.03;0.970603;8439.47;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;48;1254;1790;[1151";1683;1369;"1897];7965.19;0.814422;34112.4;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;49;1605;1718;[1566";1677;1645;"1757];3300.36;0.844351;4934.65;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;50;527;1741;[493";1707;567;"1776];3351.91;0.810488;4209.62;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;51;423;1837;[379";1797;463;"1894];3592.85;0.713833;5384.99;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;52;770;2058;[726";2007;809;"2098];4329.31;0.888081;5517.01;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;53;1707;2107;[1679";2080;1735;"2158];3155.02;0.848226;3472.88;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;D14;4;14;1;1;54;87;2133;[52";2106;118;"2161];3055.18;0.955988;2954.4;61"
