;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;1;797;52;[751,5,857,99];3589.21;0.85088;8167.99;3
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;2;88;84;[42,38,143,133];2769.52;0.896109;7577.11;4
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;3;676;77;[638,42,772,160];2786.12;0.530181;8176.5;5
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;4;1586;101;[1543,60,1625,142];2982.02;0.795781;5290.24;6
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;5;1963;108;[1919,66,2001,171];1935.01;0.383215;5971.61;7
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;6;1132;141;[1037,77,1181,191];3395.61;0.726588;10787.0;8
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;7;234;131;[179,70,292,186];3168.93;0.830386;10241.9;9
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;8;467;132;[436,101,503,175];2695.44;0.648914;3876.39;10
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;9;990;157;[952,122,1026,209];2614.87;0.622506;4817.54;11
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;10;146;166;[105,121,194,209];2841.93;0.885682;6237.78;12
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;11;1662;215;[1607,165,1709,281];3237.75;0.741981;8244.64;13
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;12;1334;198;[1307,178,1361,223];2539.97;0.584938;1814.16;14
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;13;636;272;[585,223,688,322];3566.16;0.839279;8220.15;15
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;14;1125;276;[1068,226,1179,351];3303.7;0.746275;10524.1;16
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;15;1014;341;[973,301,1058,385];2510.42;0.590587;5225.3;18
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;16;1272;351;[1230,311,1314,394];3290.36;0.769349;5579.82;19
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;17;1094;407;[1049,364,1144,452];3325.77;0.791956;6435.8;20
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;18;501;417;[453,370,546,467];3311.32;0.837636;7094.82;21
18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;19;289;423;[266,394,342,446];2229.65;0.431656;2391.2;22
19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;20;1830;456;[1802,436,1852,485];2426.9;0.603599;1649.14;23
20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;21;146;487;[106,447,198,527];2666.59;0.751324;5953.52;24
21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;22;1922;521;[1877,479,1965,568];3323.7;0.836066;6184.54;25
22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;23;1260;539;[1208,489,1310,588];3420.99;0.833502;8269.13;26
23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;24;1358;535;[1327,496,1391,570];3177.48;0.701219;3674.1;27
24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;25;450;573;[408,533,494,612];3086.15;0.799085;5677.77;28
25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;26;1772;585;[1727,547,1813,627];3326.37;0.796;5445.68;29
26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;27;93;600;[40,555,140,647];2782.98;0.825925;7103.34;30
27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;28;1331;611;[1315,585,1352,631];2481.97;0.416336;1128.53;31
28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;29;528;657;[485,613,574,701];2952.63;0.753433;5905.61;32
29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;30;1211;800;[1189,762,1237,823];2342.51;0.388273;1781.16;34
30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;31;829;818;[747,764,894,890];3103.87;0.687445;12263.7;35
31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;32;969;861;[929,822,1015,901];2748.63;0.715325;5404.16;36
32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;33;1102;934;[1051,880,1151,989];2966.15;0.820897;8441.6;37
33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;34;1217;975;[1147,894,1288,1041];3626.29;0.832627;14836.9;38
34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;35;1040;989;[1002,953,1078,1025];2737.63;0.811469;4322.47;39
35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;36;303;1050;[256,992,349,1092];2650.6;0.67792;6397.47;40
36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;37;446;1045;[393,1000,509,1101];3005.97;0.71388;8267.0;41
37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E13;5;13;1;1;38;808;1071;[751,1016,862,1128];3366.38;0.854079;10135.5;42
