;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;1;456;46;[417";7;506;"93];3067.33;0.796664;5687.35;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;2;915;318;[568";6;1341;"657];2760.21;0.294997;361211;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;3;1597;54;[1565";23;1639;"90];2876.57;0.807283;3813.57;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;4;576;179;[523";130;634;"232];4201.74;0.817757;9237.96;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;5;1888;182;[1858";141;1920;"216];2247.88;0.454802;2963.98;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;6;2022;241;[1974";197;2070;"288];2939.95;0.819241;6606.15;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;7;115;239;[69";203;167;"278];2762.63;0.770259;4965.52;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;8;366;268;[317";222;414;"317];3385.05;0.850941;7531.33;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;9;1971;330;[1933";298;2003;"363];2533.72;0.653912;3498.44;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;10;301;406;[254";357;349;"454];3093.12;0.825366;7323.72;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;11;1620;413;[1584";365;1658;"450];3213.41;0.748839;4799.44;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;12;265;560;[211";460;394;"632];3155.91;0.659431;17390;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;13;481;535;[426";469;540;"609];3639.07;0.85837;12481.9;20"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;14;1353;506;[1325";466;1399;"529];2478.68;0.350428;2280.48;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;15;676;531;[621";478;731;"583];3769.49;0.83442;8635.37;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;16;1203;557;[1173";501;1233;"585];3247.79;0.486642;3196.08;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;17;1837;539;[1805";513;1877;"568];2792.66;0.670231;2902.23;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;18;391;642;[338";568;435;"747];2065.72;0.139323;7962.51;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;19;1898;654;[1856";609;1933;"690];3146.01;0.808721;4760.04;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;20;517;670;[461";622;569;"731];3041.18;0.754507;8348.98;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;21;1979;691;[1899";656;2017;"753];3101.69;0.775417;7556.88;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;22;1271;686;[1245";665;1299;"719];2569.96;0.551523;1974.92;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;23;1417;716;[1370";671;1472;"762];3498.07;0.813536;7414.21;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;24;1800;719;[1753";674;1858;"765];3136.23;0.816847;7329.04;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;25;813;735;[763";684;873;"786];3479;0.838738;8611.94;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;26;1602;761;[1560";689;1645;"824];3011.79;0.770271;9374.23;33"
