;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;1;1980;151;[1946";120;2029;"183];3271.12;0.852234;3468.63;2"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;2;1603;169;[1563";130;1642;"208];5002.96;0.993649;4845.22;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;3;953;200;[912";156;995;"248];3570.57;0.916738;5878.99;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;4;1256;190;[1229";161;1285;"220];3634.73;0.906047;2629.68;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;5;735;233;[680";180;789;"287];6590.62;0.988903;9636.14;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;6;947;328;[894";275;1050;"427];7522.74;0.835199;13872.4;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;7;1884;305;[1857";276;1921;"332];3395.82;0.872064;2930.98;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;8;2063;375;[2009";314;2164;"418];5990.99;0.840363;11432.2;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;9;480;405;[360";316;530;"450];5161.77;0.655255;13401.8;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;10;257;467;[205";404;352;"534];4860.96;0.817632;12040.1;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F12;6;12;1;1;11;514;504;[411";440;571;"561];5601.19;0.779725;12818.4;12"
