;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;1;1165;90;[1127";50;1211;"131];2887.74;0.704209;4797.31;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;2;846;100;[817";74;868;"131];2245.28;0.435144;2010.06;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;3;1682;121;[1653";85;1711;"176];2479.56;0.5295;3720.95;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;4;1041;113;[1015";85;1066;"162];2503.28;0.556799;2748.92;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;5;423;174;[382";135;468;"215];3033.54;0.782199;5209.33;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;6;168;206;[125";162;216;"254];2959.48;0.845893;6666.83;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;7;494;226;[460";191;531;"260];3077.44;0.866314;4019.05;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;8;298;251;[254";197;342;"298];3318.18;0.842896;6492.23;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;9;1526;255;[1477";214;1578;"297];3295.91;0.802116;6284.62;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;10;847;256;[811";221;884;"304];3182.67;0.821918;4746.2;20"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;11;1996;299;[1936";239;2058;"362];3821.69;0.877512;11960.3;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;12;1326;280;[1273";245;1361;"317];3323.65;0.785432;5172.06;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;13;1768;284;[1727";250;1818;"336];2669.99;0.535404;4779.21;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;14;748;311;[693";258;802;"362];3635.24;0.852485;9070.81;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;15;928;313;[881";262;975;"365];3868.08;0.844242;7007.52;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;16;88;349;[44";302;133;"394];2994.38;0.842561;6399.6;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;17;365;425;[314";348;408;"469];3060.86;0.702652;7796.42;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;18;2021;390;[2000";379;2033;"432];2059.33;0.352755;1093.39;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;19;758;416;[731";396;783;"445];2503.52;0.421754;1587.39;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;20;1828;450;[1793";416;1855;"478];2267.7;0.365079;2554.09;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;21;1879;494;[1841";479;1909;"530];2273.47;0.411126;1950.44;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;22;799;528;[756";486;843;"571];3273.64;0.834285;5824.69;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;23;480;584;[448";555;515;"615];2864.88;0.7162;3189.69;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;24;1683;606;[1640";566;1726;"648];3256.88;0.791958;5786.37;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;25;653;657;[614";614;694;"696];3114.58;0.766297;5429.71;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;26;1433;854;[1377";798;1497;"912];3259.52;0.804595;10922.2;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;27;2075;920;[2017";855;2127;"959];2983.56;0.682773;7543.04;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;28;587;900;[537";861;635;"941];2967.7;0.703874;5815.11;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;29;1966;963;[1917";906;2015;"1014];3551.15;0.86412;8651.34;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;30;1741;999;[1692";947;1789;"1050];2180.32;0.470831;7541.97;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;31;1261;1080;[1227";1047;1297;"1111];2740.14;0.74407;3431.36;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;32;391;1104;[360";1071;431;"1137];2389.89;0.657945;3102.39;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;33;1252;1164;[1198";1111;1310;"1219];3632.27;0.914821;10034.3;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;34;732;1155;[707";1129;761;"1190];2544.12;0.711515;2455.08;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;35;1042;1172;[1015";1129;1083;"1189];2141.36;0.281325;1894.01;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;36;1426;1181;[1388";1144;1461;"1223];2809.4;0.734915;4681.26;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;37;982;1224;[944";1189;1010;"1259];2072.82;0.1886;2162.3;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;38;108;1251;[71";1211;145;"1286];2582.78;0.729014;4358.67;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;39;331;1481;[215";1389;385;"1533];2782.59;0.752098;16279.5;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;40;957;1470;[908";1422;1011;"1528];3074.6;0.807287;7867.75;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;41;156;1614;[100";1568;211;"1660];3209.85;0.84525;8423.5;55"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;42;1693;1643;[1673";1597;1719;"1664];2007.37;0.550434;1836.52;56"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;43;1563;1739;[1541";1720;1583;"1759];2057.97;0.639306;1195.6;57"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;44;1616;1755;[1590";1737;1636;"1773];2349.74;0.663601;1254.16;58"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;45;2152;1848;[2098";1806;2197;"1891];2576.45;0.788154;6259.07;59"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;46;1058;1910;[1016";1862;1091;"1946];2539.94;0.632575;4309.7;60"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;47;1977;1950;[1906";1880;2050;"2026];3191.8;0.953413;17055.7;61"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;48;1555;2000;[1512";1960;1595;"2042];2690.07;0.829768;5728.87;63"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;49;1643;2060;[1600";2016;1688;"2110];3201.73;0.931983;6873.37;64"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;50;793;2126;[684";2048;833;"2170];2673.5;0.684079;10697.6;65"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;51;1663;2150;[1621";2109;1706;"2196];2843.22;0.928858;6110.02;66"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;52;1164;619;[573";184;1885;"1169];2200.85;0.085033;713748;69"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;53;968;143;[914";106;1001;"186];2033.44;0.156522;2047.32;70"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;54;564;412;[539";392;593;"437];2228.14;0.236292;1254.16;71"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;55;471;436;[430";415;498;"461];2322.27;0.513636;1950.44;72"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G13;7;13;1;1;56;1779;670;[1757";650;1800;"693];2500.12;0.568553;1323.36;73"
