;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;1;819;79;[796";56;842;"114];2172.21;0.67751;2072.87;2"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;2;737;165;[651";99;799;"244];2298.65;0.534277;13913.9;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;3;1733;128;[1701";101;1764;"156];2105.43;0.7012;2629.68;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;4;1912;125;[1888";104;1948;"148];2020.56;0.728838;1961.08;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;5;97;335;[55";224;148;"385];2100.19;0.500746;9546.71;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;6;1553;282;[1520";251;1597;"326];2272.23;0.545873;3791.21;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;7;352;284;[328";256;381;"312];2141.35;0.612696;1991.96;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;8;464;353;[419";323;495;"386];2180.48;0.593844;3073.64;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;9;624;398;[541";346;676;"459];2473.61;0.693204;11779.3;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;10;700;451;[658";413;744;"498];2340.24;0.638391;6080.21;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;11;398;462;[369";434;428;"493];2131.12;0.639737;2620.1;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;12;250;493;[125";440;324;"588];2194.41;0.458264;15420.4;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;13;2132;517;[2109";488;2155;"548];1999.02;0.580862;1743.89;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;14;434;564;[374";501;484;"631];2321.27;0.606821;10386.7;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;15;115;606;[70";558;173;"646];2202.49;0.56808;6832.92;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;16;1413;610;[1375";570;1453;"653];2234.59;0.64608;4910.16;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;17;1670;645;[1630";606;1716;"690];2414.89;0.646044;5733.13;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;18;1268;750;[1224";709;1315;"792];2422.88;0.747212;5973.74;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;19;1181;753;[1142";722;1216;"786];2211.89;0.650413;3729.46;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;20;310;907;[272";854;354;"951];2053.32;0.518224;5058.15;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;21;883;936;[826";883;940;"990];2306.16;0.652881;8987.76;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;22;2172;1090;[2149";1063;2196;"1123];2125.38;0.687244;1936.6;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;23;160;1203;[116";1161;206;"1246];2212.95;0.694986;5621.35;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;24;551;1432;[519";1400;592;"1467];2268.29;0.650208;3595.32;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;25;480;1452;[455";1432;528;"1482];2177.06;0.555242;2278.35;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;26;1976;1472;[1936";1434;2020;"1510];2300.51;0.672972;4936.78;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;27;471;1525;[427";1475;514;"1573];2354.7;0.665659;6595.5;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;28;380;1849;[349";1819;427;"1883];2115.62;0.645566;3552.73;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;29;202;1999;[169";1966;239;"2031];1957.04;0.668637;3136.46;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;30;1994;2014;[1956";1979;2038;"2053];2017.84;0.646921;4272.44;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;31;1610;2082;[1542";2024;1673;"2139];2308.21;0.645855;10532.6;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;32;1762;2141;[1710";2087;1812;"2192];2153.18;0.731026;8298.94;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;33;1092;1461;[311";55;2159;"2015];1896.03;-0.0226892;2053410;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;34;351;373;[277";331;403;"429];1877.99;0.119166;6256.94;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;35;286;706;[266";633;292;"820];1833.74;0.0954554;1511.8;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;36;1466;766;[1419";685;1477;"789];1842.07;0.182137;1740.7;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;37;1513;816;[1353";808;1522;"824];1838.73;0.194271;1108.3;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;38;1314;990;[1299";832;1327;"1013];1840.36;0.127663;2097.36;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;39;1446;914;[1417";874;1475;"1065];1836.35;0.157535;7648.44;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H22;8;22;1;1;40;1769;1647;[1659";1615;1828;"1681];1846.33;0.337207;7084.17;46"
