;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;1;301;1154;[289,1135,333,1180];2534.75;0.462953;1081.68;2
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;2;1454;27;[1427,5,1480,82];3344.69;0.471222;2805.35;5
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;3;1324;57;[1286,33,1347,96];3444.21;0.599593;2297.51;6
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;4;417;176;[305,92,455,218];2962.89;0.428674;9169.82;7
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;5;793;144;[765,120,816,184];3062.63;0.436585;1964.28;8
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;6;906;170;[872,133,940,231];3539.47;0.411216;3720.95;9
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;7;1642;170;[1610,145,1673,225];3148.06;0.549226;2950.14;10
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;8;464;177;[447,154,484,194];2744.6;0.786833;1057.2;11
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;9;238;187;[221,169,260,213];2599.13;0.498269;1232.86;12
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;10;1487;201;[1449,179,1511,238];3201.87;0.532765;2236.83;13
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;11;2024;223;[1967,205,2058,255];2603.95;0.399065;2033.48;14
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;12;284;253;[259,225,337,288];2648.16;0.399932;2705.27;15
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;13;1926;251;[1879,229,1951,276];2804.89;0.525285;1987.7;16
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;14;487;254;[459,233,519,297];3524.81;0.552413;2205.95;17
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;15;2029;293;[1984,256,2060,316];2651.37;0.411303;2237.89;19
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;16;23;306;[7,291,65,323];2735.33;0.604503;1321.23;20
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;17;1597;385;[1543,362,1613,421];2820.38;0.224476;1953.63;21
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;18;1943;496;[1890,460,1966,544];2783.4;0.407759;3306.8;22
18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;19;42;557;[24,530,60,576];2504.19;0.613629;1190.28;23
19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;20;1946;555;[1923,534,1966,588];2840.99;0.631696;1617.2;24
20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;21;1964;635;[1912,594,2005,662];3280.21;0.547085;4016.92;25
21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;22;310;684;[275,660,336,709];3553.2;0.642839;1845.04;26
22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;23;1990;679;[1958,659,2009,698];3012.9;0.689405;1252.03;27
23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;24;1756;851;[1732,827,1791,877];3024.89;0.517734;1990.89;28
24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;25;136;961;[116,946,163,978];2790.32;0.583811;1009.29;30
25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;26;1907;973;[1865,948,1954,1011];2740.97;0.428484;2901.17;31
26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;27;218;1101;[172,1048,263,1143];2737.25;0.519841;4508.79;32
27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;28;1704;1122;[1671,1094,1730,1156];2686.55;0.47032;2440.17;33
28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;29;263;1153;[226,1094,313,1190];2798.96;0.493438;4171.29;34
29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;30;1075;1157;[1045,1124,1104,1179];3006.0;0.249361;1596.97;35
30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;31;1609;1208;[1581,1173,1651,1235];3060.44;0.458363;2604.13;36
31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;32;882;1314;[838,1263,909,1357];3419.69;0.548848;3942.39;37
32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;33;490;1416;[452,1384,524,1448];2799.21;0.492855;3240.79;38
33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;34;2053;1409;[2014,1392,2070,1472];2466.75;0.348901;2253.86;39
34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;35;882;1450;[857,1429,907,1482];2439.5;0.20495;1151.95;40
35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;36;119;1485;[93,1457,161,1523];2606.07;0.525486;2488.08;41
36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;37;1955;1532;[1923,1501,1987,1557];2793.54;0.312572;2116.52;42
37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;38;846;1570;[798,1520,920,1613];3403.96;0.60614;6602.95;43
38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;39;1064;1651;[982,1578,1128,1716];2450.65;0.393681;12658.7;44
39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;40;2008;1643;[1972,1611,2035,1720];2813.79;0.351384;3948.78;45
40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;41;844;1693;[821,1674,879,1732];2791.48;0.520551;2007.93;46
41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I7;9;7;1;1;42;1959;1855;[1915,1798,2013,1900];2852.84;0.590374;6225.0;47
