;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;1;1368;52;[1324";12;1415;"96];3234.47;0.747142;5306.21;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;2;659;42;[623";14;684;"74];2811.07;0.529782;2375.23;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;3;1013;65;[986";24;1045;"95];3063.52;0.65276;2777.67;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;4;1575;91;[1540";34;1631;"122];2915.72;0.496387;4673.81;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;5;407;132;[372";101;439;"174];2710.8;0.611069;3104.52;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;6;230;151;[201";124;265;"181];2802.47;0.605607;2236.83;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;7;578;207;[511";142;636;"273];3471.49;0.63013;10103.5;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;8;1952;222;[1919";190;1981;"258];2926.69;0.583869;2860.71;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;9;249;207;[223";190;291;"270];2429.31;0.372675;2862.84;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;10;2105;271;[2074";245;2119;"295];2734.28;0.400208;1275.45;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;11;1338;275;[1312";252;1364;"302];2882.68;0.628247;1904.66;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;12;608;308;[583";280;633;"336];3237.13;0.622866;2122.91;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;13;546;353;[525";332;571;"378];2466.67;0.499741;1578.87;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J18;10;18;1;1;14;584;442;[555";410;616;"470];3603.79;0.646435;2871.36;16"
