;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;1;748;105;[706,39,783,151];2940.26;0.51557;4521.56;3
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;2;234;100;[186,52,326,150];3377.81;0.75665;10469.8;4
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;3;1262;116;[1222,76,1309,161];3353.72;0.793915;5692.68;5
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;4;1573;182;[1522,85,1632,243];3253.66;0.679582;10907.3;6
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;5;477;168;[440,135,521,205];3338.84;0.696427;4242.63;7
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;6;245;220;[204,177,278,263];2591.55;0.420633;3034.25;9
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;7;1892;297;[1835,238,2006,357];3094.06;0.704428;14369.6;10
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;8;816;300;[785,272,844,335];2745.46;0.780213;2523.22;11
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;9;1317;444;[1286,424,1373,474];2397.01;0.374944;2514.7;13
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;10;1873;473;[1837,428,1913,516];3005.6;0.709667;4665.29;14
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;11;325;630;[278,580,377,674];3516.9;0.792997;7179.99;15
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;12;2036;614;[1991,585,2062,648];2872.37;0.591025;2600.94;16
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;13;1641;741;[1606,700,1677,786];2661.04;0.596296;4405.52;19
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;14;1883;731;[1850,702,1911,761];2980.23;0.796297;2559.42;20
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;15;395;751;[370,724,417,781];2644.21;0.598368;1829.07;21
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;16;2132;769;[2093,733,2171,819];3034.81;0.741327;4650.39;22
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;17;742;817;[716,794,765,841];3242.92;0.830678;1642.75;23
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;18;2160;860;[2111,844,2181,877];2592.3;0.724769;1657.66;25
18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;19;897;941;[869,913,931,982];3269.82;0.62614;2880.94;26
19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;20;602;1003;[552,960,647,1047];3786.66;0.837872;6734.97;27
20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;21;1990;1032;[1953,991,2030,1080];3179.06;0.776981;5560.66;28
21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;22;2079;1059;[2051,1031,2113,1083];2647.15;0.723062;2310.29;29
22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;23;1553;1135;[1507,1102,1590,1175];3157.14;0.763916;4415.1;30
23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;24;77;1160;[26,1106,130,1220];2304.55;0.696944;9447.69;31
24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;25;1953;1186;[1905,1152,1998,1220];3116.21;0.671225;4728.11;32
25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J24;10;24;1;1;26;1156;1292;[1124,1262,1192,1326];3335.14;0.751109;3341.93;33
