;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;1;251;538;[212,526,273,562];2241.85;0.5726;1338.26;1
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;2;113;2103;[74,2087,131,2123];2371.79;0.749242;1380.85;2
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;3;931;22;[912,7,949,60];2365.59;0.597279;1355.3;4
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;4;2147;32;[2109,8,2170,70];2407.57;0.622225;2004.73;5
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;5;1553;37;[1525,24,1582,59];2363.34;0.473816;1142.37;6
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;6;1378;64;[1355,41,1415,95];2508.87;0.526733;2248.54;7
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;7;65;90;[10,52,140,150];2615.49;0.654388;7131.02;8
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;8;1470;80;[1433,54,1525,109];2502.58;0.478193;2924.59;9
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;9;1863;115;[1812,65,1907,183];2563.49;0.444368;5442.48;10
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;10;1517;112;[1498,95,1535,144];2547.21;0.494764;1231.8;11
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;11;786;166;[742,136,809,187];2353.38;0.57167;1765.19;12
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;12;827;231;[793,185,852,256];2591.52;0.616621;3081.09;13
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;13;1393;221;[1363,195,1439,257];2691.86;0.52751;2862.84;14
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;14;863;243;[847,222,883,281];2517.7;0.682138;1429.82;15
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;15;1973;256;[1923,226,1997,284];2184.29;0.444454;2089.91;16
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;16;110;270;[59,229,154,312];2772.86;0.48303;3841.25;17
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;17;876;376;[825,319,914,413];2707.55;0.452402;4501.33;18
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;18;1020;378;[994,346,1048,405];2791.01;0.527784;2068.61;19
18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;19;62;415;[28,374,84,438];2419.67;0.613651;2090.97;20
19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;20;234;417;[214,399,255,447];2316.3;0.686986;1517.12;21
20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;21;349;443;[320,422,397,464];2475.88;0.51869;2366.71;22
21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;22;1191;444;[1151,427,1210,489];2356.33;0.461066;2210.21;23
22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;23;320;475;[300,453,388,534];2359.41;0.322158;2809.61;24
23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;24;829;507;[803,480,856,542];2310.43;0.370483;2180.4;25
24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;25;123;524;[92,508,143,541];2534.63;0.645379;1183.89;26
25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;26;1601;534;[1572,512,1641,568];2186.22;0.393991;2047.32;27
26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;27;2075;575;[2033,546,2106,604];2819.25;0.615192;2732.95;28
27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;28;244;598;[186,575,274,630];2271.24;0.493919;3513.34;29
28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;29;1043;620;[1009,590,1074,658];2121.33;0.238021;2626.49;30
29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;30;423;641;[403,603,445,660];2190.26;0.478685;1452.18;31
30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;31;2071;634;[2033,614,2152,673];2505.51;0.408442;3435.62;32
31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;32;1575;714;[1546,681,1617,747];2586.65;0.543897;2924.59;33
32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;33;985;722;[954,694,1008,743];2541.63;0.431101;1665.11;34
33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;34;488;856;[400,754,543,890];2416.91;0.333517;7951.86;36
34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;35;1198;818;[1166,754,1224,844];2499.73;0.522942;2901.17;37
35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;36;385;825;[363,807,405,851];2199.74;0.577872;1134.92;38
36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;37;1069;875;[1042,829,1100,908];2215.64;0.408584;2840.48;39
37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;38;393;893;[369,861,412,911];2199.46;0.497708;1123.2;41
38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;39;2003;898;[1972,868,2048,926];2767.83;0.569732;2588.16;42
39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;40;209;927;[148,893,266,981];2381.64;0.479803;5373.28;43
40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;41;648;931;[575,898,675,955];2317.83;0.315562;3286.57;44
41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;42;1624;950;[1585,918,1655,1000];2559.91;0.465714;2894.78;45
42;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;43;1213;992;[1186,966,1245,1022];2326.22;0.417018;1965.34;46
43;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;44;1146;1026;[1097,1009,1165,1063];1949.96;0.124625;1676.82;47
44;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;45;1599;1121;[1571,1093,1636,1151];2167.99;0.574092;2270.9;48
45;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;46;2080;1118;[2035,1089,2105,1147];2681.16;0.629262;2485.95;49
46;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;47;627;1160;[593,1133,667,1195];2243.25;0.47506;2330.52;50
47;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;48;175;1194;[140,1156,212,1230];2355.15;0.380387;2019.64;51
48;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;49;441;1282;[414,1236,465,1309];2383.57;0.380979;2244.28;52
49;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;50;883;1286;[860,1238,902,1314];2282.01;0.278213;1800.32;53
50;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;51;1457;1321;[1435,1294,1511,1341];2214.26;0.334337;2336.9;54
51;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;52;372;1376;[333,1357,459,1420];2445.32;0.412656;3777.37;55
52;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;53;251;1447;[190,1424,281,1487];2346.43;0.486608;3061.93;56
53;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;54;1344;1477;[1319,1453,1372,1508];2453.24;0.546626;1881.23;57
54;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;55;75;1523;[50,1497,114,1559];2275.95;0.693076;2485.95;58
55;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;56;943;1607;[918,1573,971,1656];2367.9;0.44437;2676.53;59
56;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;57;1352;1766;[1322,1749,1382,1782];2438.9;0.409416;1275.45;60
57;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;58;1278;1788;[1250,1766,1324,1837];2246.02;0.305769;2262.38;61
58;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;59;960;1809;[937,1778,992,1836];2315.02;0.256268;1440.47;62
59;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;60;2058;1893;[2018,1864,2080,1923];2384.16;0.508512;2362.46;63
60;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;61;1454;1989;[1398,1956,1499,2039];2321.61;0.39987;3923.23;64
61;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;62;839;2030;[820,2011,875,2054];2113.3;0.462322;1377.66;65
62;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;63;829;2083;[801,2056,852,2111];2293.47;0.587132;1929.14;66
63;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;64;1666;84;[1628,47,1686,114];2466.77;0.559861;2271.96;68
64;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;65;1027;249;[910,114,1343,407];2015.74;0.119267;53544.4;69
65;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;66;1832;472;[1206,144,2155,1390];2017.26;0.0330507;546992.0;70
66;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;67;1130;586;[1045,522,1179,714];2005.91;0.120874;9354.0;71
67;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;68;869;859;[856,846,948,887];1969.43;0.151473;1895.07;72
68;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;69;871;905;[787,890,938,940];1968.13;0.17648;2872.42;73
69;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;70;1750;1323;[1734,1251,1778,1383];1971.13;0.221163;3019.34;74
70;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;71;1123;1454;[926,1252,1439,1878];1989.08;0.0630212;151410.0;75
71;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;72;1717;1313;[1632,1291,1733,1379];1964.13;0.19023;2435.92;76
72;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;73;742;1312;[676,1294,823,1326];1962.2;0.163825;2035.61;77
73;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;74;791;1574;[584,1344,923,1758];1977.07;0.0514237;48377.6;78
74;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;75;1971;1455;[1960,1441,1985,1519];1969.06;0.280144;1058.26;79
75;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K15;11;15;1;1;76;1606;1480;[1593,1468,1690,1492];1962.22;0.372094;1553.32;80
