;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;1;2126;560;[2103";543;2148;"578];2662.02;0.733184;1079.55;1"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;2;229;93;[204";40;284;"152];2749.5;0.401917;4349.09;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;3;1420;102;[1391";52;1468;"143];2757.09;0.402507;3673.04;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;4;781;109;[753";77;812;"161];3092.77;0.480332;2926.72;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;5;1583;133;[1561";112;1607;"170];3105.74;0.636205;2039.87;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;6;1457;183;[1424";166;1474;"204];2529.73;0.362741;1173.24;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;7;232;192;[208";168;268;"266];2691.05;0.553936;3834.86;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;8;1605;207;[1566";174;1640;"240];2840.81;0.567945;3402.62;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;9;194;215;[141";194;214;"242];2547.02;0.459135;2319.87;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;10;777;297;[745";266;816;"320];3083.87;0.404251;2099.49;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;11;1378;294;[1353";267;1419;"322];3135.07;0.595929;2392.27;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;12;1833;324;[1796";283;1864;"356];3550.09;0.635521;3336.61;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;13;1973;374;[1938";355;1995;"397];2745.32;0.44779;1407.47;16"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;14;1009;475;[976";454;1062;"513];3015.57;0.49023;3040.64;17"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;15;299;500;[260";476;346;"528];2875.2;0.482666;2839.42;18"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;16;1908;524;[1885";502;1953;"548];2921.06;0.520438;1942.98;19"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;17;2144;600;[2123";562;2171;"623];3954.62;0.710114;2087.78;21"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;18;1799;638;[1771";588;1821;"663];2770.15;0.336098;1953.63;22"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;19;942;682;[921";656;964;"715];3467.92;0.633732;1969.6;23"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;20;1811;738;[1789";697;1881;"759];2845.53;0.485103;3395.16;24"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;21;753;764;[696";722;836;"801];3308.51;0.493786;6938.32;25"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;22;1279;854;[1235";818;1312;"887];2961.72;0.548158;3149.23;26"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;23;1111;918;[1078";877;1143;"949];2418.11;0.381626;3072.58;27"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;24;210;958;[190";941;230;"980];3477.87;0.804266;1315.91;28"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;25;1606;1066;[1578";1039;1638;"1089];2918.87;0.524933;2067.55;29"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;26;639;1161;[578";1119;679;"1222];2758.18;0.468326;6167.51;30"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;27;1593;1145;[1568";1118;1634;"1174];2342.11;0.563169;2386.94;31"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;28;339;1226;[290";1193;368;"1275];2633.89;0.535441;3630.45;32"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;29;1089;1284;[1065";1261;1113;"1310];2298.77;0.57733;1629.98;33"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;30;2025;1386;[2006";1366;2058;"1418];2435.38;0.542848;1656.59;34"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;31;567;1396;[541";1368;644;"1424];2681.08;0.593129;4393.81;35"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;32;1962;1458;[1918";1410;2024;"1491];2744.26;0.526126;4696.17;36"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;33;989;1499;[966";1479;1016;"1531];3260.47;0.791095;1615.07;37"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;34;1658;1504;[1634";1483;1685;"1526];3308.54;0.760815;1755.61;38"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;35;1033;1562;[1000";1529;1065;"1602];4217.43;0.846955;3728.4;39"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;36;1172;1577;[1151";1556;1195;"1606];2657.26;0.758065;1744.96;40"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;37;704;1638;[658";1597;745;"1680];3325.67;0.734898;5193.36;41"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;38;1003;1630;[983";1610;1043;"1665];2774.68;0.663589;2207.02;42"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;39;368;1686;[346";1666;395;"1708];3057;0.813944;1503.28;43"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;40;321;1732;[305";1715;338;"1754];2731.21;0.855588;1084.88;44"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;41;1367;1737;[1334";1717;1386;"1757];2848.04;0.80929;1592.71;45"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;42;68;1765;[41";1739;112;"1806];2648.13;0.623604;2861.78;46"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;43;806;1816;[783";1793;832;"1840];2413.39;0.73367;1691.73;47"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;44;343;1977;[315";1940;370;"1997];2528.98;0.636765;1928.08;48"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;45;1645;1977;[1614";1942;1677;"2009];3113.2;0.509378;2232.57;49"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;46;652;443;[403";107;1773;"1044];2269.44;0.0216618;547319;50"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;47;1736;466;[1728";456;1745;"565];2197.99;0.366355;1265.87;51"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;48;989;391;[964";362;1006;"406];2738.92;0.369922;1140.24;52"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;49;839;515;[808";497;858;"532];2969.46;0.462467;1167.92;53"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;50;1390;919;[1357";895;1420;"949];2407.42;0.264783;1849.29;54"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K20;11;20;1;1;51;964;1079;[938";1058;999;"1104];3005.48;0.471095;1775.83;55"
