;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;1;883;250;[852";219;914;"282];5932.04;0.887151;3212.05;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;2;797;260;[768";231;828;"289];5625.68;0.906901;2911.81;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;3;1590;303;[1562";277;1611;"325];4492.32;0.785473;1874.85;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;4;2106;347;[2069";306;2136;"387];4575.22;0.74588;3770.99;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;5;643;349;[604";314;683;"386];5509.77;0.871115;4351.22;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;6;880;379;[833";333;978;"444];6372.41;0.830225;11020.2;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;7;1802;387;[1774";350;1829;"422];4989.15;0.923354;3237.6;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;8;1908;406;[1865";365;1952;"474];5671.4;0.836894;7362.05;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;9;753;414;[715";376;795;"478];6753.16;0.917316;6586.98;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L24;12;24;1;1;10;1558;438;[1519";393;1597;"479];6061.08;0.881763;5406.29;12"
