;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;1;684;352;[660,330,711,372];2632.1;0.710434;1622.52;2
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;2;420;63;[378,5,463,108];2656.66;0.635312;5044.31;3
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;3;2093;30;[2072,9,2126,51];2139.61;0.449551;1184.95;4
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;4;1382;59;[1362,18,1400,87];2522.71;0.437178;1463.89;5
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;5;2042;94;[1978,53,2076,132];2452.49;0.467411;5395.64;6
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;6;1947;134;[1924,111,2001,197];2667.01;0.548201;3278.05;7
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;7;474;156;[447,127,491,181];2171.94;0.464308;1524.58;8
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;8;955;170;[921,131,979,199];2536.56;0.522737;2153.78;9
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;9;1665;185;[1633,159,1698,237];2966.62;0.351021;2298.58;10
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;10;1911;202;[1869,160,1961,301];3189.08;0.315015;5431.84;11
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;11;2110;221;[2072,180,2160,251];2588.75;0.536378;4515.18;12
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;12;2002;244;[1949,184,2039,274];3056.2;0.53208;4655.71;13
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M10;13;10;1;1;13;1155;312;[1126,276,1180,350];2355.7;0.410414;2273.03;14
