;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;1;1030;68;[1014";36;1072;"81];2311.51;0.399316;1179.63;1"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;2;2183;183;[2169";148;2204;"208];2431.39;0.465501;1068.91;2"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;3;1708;263;[1679";242;1730;"291];2486.76;0.456774;1450.05;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;4;475;717;[459";671;527;"739];2396.71;0.328683;2037.74;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;5;786;1524;[759";1498;837;"1546];2412.11;0.381524;1724.73;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;6;1005;31;[979";9;1032;"53];2450.12;0.717099;1667.24;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;7;1814;55;[1742";12;1850;"89];2621.19;0.55623;5166.74;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;8;1269;43;[1219";21;1293;"66];2568.64;0.354986;1727.92;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;9;1928;57;[1908";41;1948;"81];2502.16;0.676033;1212.63;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;N20;14;20;1;1;10;1344;80;[1322";61;1362;"122];2473.88;0.455364;1686.4;12"
