;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;1;272;289;[247";260;289;"309];2285.57;0.445028;1406.4;1"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;2;780;1507;[741";1485;794;"1522];2950.74;0.467593;1198.79;2"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;3;1543;2005;[1536";1997;1597;"2047];2755.52;0.394761;1220.09;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;4;1353;2167;[1320";2136;1374;"2176];2773.39;0.418133;1187.08;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;5;802;46;[783";30;830;"70];2897.9;0.524238;1141.3;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;6;1674;77;[1652";58;1703;"111];2713.97;0.520885;1639.56;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;7;406;92;[383";71;433;"112];3098.73;0.717747;1631.04;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;8;1459;92;[1439";74;1481;"117];2547.63;0.575632;1335.07;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;9;1120;206;[1105";192;1150;"238];2700.75;0.564923;1121.08;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;10;2038;243;[1965";194;2086;"288];3130.91;0.561838;6964.93;13"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;11;395;304;[368";258;421;"329];2800.04;0.465635;2166.56;14"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;12;1473;301;[1450";270;1496;"329];2358.03;0.576893;1927.01;15"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O22;15;22;1;1;13;1339;372;[1312";343;1368;"400];2898.04;0.540448;2045.19;16"
