;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;1;853;55;[816";28;886;"96];3029.48;0.449098;2572.19;1"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;2;1689;82;[1645";36;1721;"117];2723.02;0.459472;3047.02;2"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;3;481;76;[446";54;515;"115];2371.58;0.39462;2462.53;3"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;4;1402;103;[1364";69;1422;"129];2537.76;0.542817;2145.27;4"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;5;1977;204;[1947";174;2022;"237];2701.59;0.620732;3451.59;5"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;6;1741;207;[1699";181;1761;"262];2347.9;0.290988;2719.11;6"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;7;1672;245;[1643";214;1693;"263];2381.62;0.379672;1173.24;7"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;8;1622;309;[1595";272;1659;"341];2434.79;0.463812;2983.15;8"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;9;884;308;[867";282;912;"339];2840.88;0.3996;1477.73;9"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;10;2019;357;[1998";341;2044;"374];2629.47;0.538412;1113.62;10"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;11;890;397;[843";353;933;"423];3165.3;0.427392;3282.31;11"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;12;1054;444;[1011";415;1078;"470];3369.77;0.527029;2573.26;12"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P20;16;20;1;1;13;2098;439;[2076";416;2121;"464];2527.76;0.693074;1503.28;13"
