;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;1;1969;45;[1930,9,2004,87];2362.33;0.727627;4472.59;4;True;alive
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;2;105;88;[58,44,162,135];2835.53;0.840406;7653.76;5;True;alive
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;3;1874;89;[1830,45,1917,137];2723.61;0.813954;6361.28;6;True;alive
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;4;1781;101;[1744,56,1818,143];2597.45;0.78065;4793.05;7;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;5;502;103;[463,62,542,143];2645.25;0.676304;4914.42;8;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;6;1672;121;[1627,70,1717,176];3102.24;0.801057;8042.36;9;True;alive
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;7;2000;140;[1964,117,2026,169];2267.3;0.548611;2307.09;11;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;8;745;183;[705,143,791,225];2869.83;0.668485;5460.58;12;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;9;420;187;[383,156,459,220];2453.25;0.589362;3735.85;13;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;10;319;247;[292,213,351,281];2218.46;0.53375;2857.52;15;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;11;1670;256;[1635,222,1704,291];2758.97;0.726881;3814.64;16;True;alive
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;12;2093;287;[2043,236,2161,336];2553.0;0.67822;9192.18;18;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A20;1;20;1;1;13;999;284;[959,248,1039,323];2996.22;0.687058;4601.41;19;False;dead
