;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;1;248;58;[215,20,293,95];2590.82;0.706959;4539.66;5;True;alive
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;2;1784;82;[1753,51,1817,114];2544.93;0.723266;3188.62;6;True;alive
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;3;1546;98;[1515,67,1578,129];2670.03;0.739878;3119.42;7;True;alive
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;4;896;148;[860,106,934,188];2949.71;0.750198;4814.34;8;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;5;1466;201;[1432,123,1522,255];2641.59;0.610164;7728.29;10;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;6;330;170;[302,142,358,202];2460.55;0.66193;2521.09;11;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;7;1402;184;[1375,157,1431,213];2442.97;0.694581;2358.2;12;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;8;979;201;[947,170,1012,234];2621.09;0.680623;3308.93;13;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;9;822;230;[780,197,863,264];3148.65;0.803819;4425.74;14;True;alive
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;10;1219;249;[1185,213,1274,280];2553.85;0.701179;4539.66;15;True;alive
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;11;2083;261;[2051,232,2116,291];2656.91;0.701748;2903.3;16;True;alive
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;12;664;332;[631,296,698,366];2973.02;0.75099;3633.65;17;True;alive
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;13;986;361;[954,328,1020,395];2656.47;0.69864;3268.47;18;True;alive
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;14;1172;365;[1143,335,1200,394];2729.18;0.724519;2653.1;19;True;alive
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;15;1649;370;[1616,335,1684,405];2773.37;0.731196;3763.53;20;True;alive
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;16;1504;387;[1470,353,1540,422];2736.6;0.721437;3825.28;21;True;alive
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;17;1116;391;[1083,362,1148,421];2710.74;0.734883;3110.9;22;True;alive
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;18;210;418;[179,392,238,449];2471.71;0.630727;2474.24;23;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;B8;2;8;1;1;19;831;430;[799,394,866,464];2876.43;0.680692;3685.81;24;False;dead
