;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;1;1696;146;[1600,94,1749,196];4286.34;0.779419;10701.8;4;True;alive
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;2;1392;164;[1347,121,1436,209];3671.05;0.877108;6585.92;5;True;alive
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;3;463;169;[420,125,509,217];3714.97;0.842658;6489.03;6;True;alive
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;4;241;240;[187,170,297,302];4011.29;0.852464;10326.0;7;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;5;1209;219;[1170,182,1247,257];3236.79;0.833039;4670.61;8;True;alive
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;6;2063;209;[2032,185,2090,236];2545.4;0.890519;2324.13;9;True;alive
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;7;1437;302;[1396,260,1479,353];3836.76;0.918209;6218.61;10;True;alive
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;8;1904;356;[1862,316,1945,398];3199.48;0.842335;5548.95;12;True;alive
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;9;1532;356;[1490,314,1573,397];3509.6;0.870924;5456.32;13;True;alive
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;10;1667;400;[1589,337,1710,440];3108.17;0.702427;7999.77;14;True;alive
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;11;772;379;[693,341,812,418];3873.27;0.812529;7398.24;15;True;alive
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;12;227;429;[188,393,266,467];3020.44;0.767284;4348.03;16;True;alive
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;13;1996;440;[1940,397,2076,484];3821.96;0.822803;9182.6;17;True;alive
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;14;503;466;[463,427,544,506];3736.82;0.881884;5035.79;18;True;alive
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;15;591;496;[534,454,633,538];4057.56;0.889891;6474.13;20;True;alive
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;C14;3;14;1;1;16;1175;515;[1129,471,1248,561];3840.83;0.822333;8666.24;21;True;alive
