;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;1;2041;62;[2013,40,2064,89];2376.05;0.638441;1698.11;2;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;2;794;116;[750,45,842,175];3009.13;0.528531;5903.48;3;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;3;1109;65;[1038,36,1156,87];2299.24;0.1754;2956.53;4;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;4;2082;89;[2043,53,2112,125];2879.25;0.743163;3170.52;5;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;5;2137;86;[2110,64,2163,113];2425.64;0.77081;2108.0;6;True;alive
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;6;1194;162;[1173,142,1237,202];2941.75;0.565484;2290.06;7;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;7;1164;198;[1085,172,1192,243];3058.2;0.480517;4484.3;8;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;8;828;237;[798,179,886,289];3234.0;0.385355;4975.1;9;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;9;749;250;[715,223,776,284];3087.43;0.438287;2161.24;10;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;10;607;255;[554,222,630,290];2973.64;0.614126;3439.88;11;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;11;1067;281;[997,252,1091,306];3252.93;0.432699;3150.3;12;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;12;1112;289;[1088,275,1128,341];2733.95;0.403586;1568.23;13;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;13;1044;370;[986,324,1072,405];3228.32;0.46234;4052.05;14;False;dead
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;14;2170;401;[2126,346,2205,436];3245.44;0.625389;5367.96;15;False;dead
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;15;1178;406;[1147,348,1217,437];3093.41;0.463268;3858.29;16;False;dead
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;16;442;515;[384,452,491,556];2744.93;0.421303;5791.69;17;False;dead
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;17;1137;502;[1111,476,1167,536];3824.76;0.805832;2531.73;18;True;alive
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;18;62;499;[39,476,86,522];2378.24;0.619518;1685.34;19;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;19;2031;500;[2003,475,2055,526];2530.67;0.589036;1886.56;20;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;20;360;511;[319,494,389,530];2410.16;0.480765;1567.16;21;False;dead
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;21;1975;577;[1939,538,2009,612];2735.58;0.447215;2213.4;22;False;dead
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;22;1498;621;[1429,555,1560,681];3239.66;0.552961;8866.39;23;False;dead
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;23;423;575;[400,557,442,602];2628.45;0.643577;1347.85;24;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;24;343;573;[327,558,378,596];2445.27;0.456822;1247.77;25;False;dead
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;25;2146;654;[2120,604,2191,688];2692.7;0.596735;3737.98;26;False;dead
25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;26;369;690;[327,601,465,734];2646.28;0.373138;10276.0;27;False;dead
26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;27;1910;661;[1881,638,1937,697];2376.94;0.403369;2052.64;28;False;dead
27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;28;1523;770;[1459,716,1575,910];3719.05;0.624652;15126.5;30;False;dead
28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;29;836;751;[802,728,870,789];3185.21;0.365461;2409.3;31;False;dead
29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;30;1710;787;[1664,754,1741,819];2881.91;0.562223;2957.59;32;False;dead
30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;31;381;824;[331,787,439,870];2686.66;0.503303;5825.76;33;False;dead
31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;32;632;856;[532,813,670,890];2861.98;0.399128;5246.59;34;False;dead
32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;33;728;861;[708,809,789,899];2737.95;0.302992;3722.01;35;False;dead
33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;34;190;873;[167,851,223,895];2140.13;0.52581;1708.76;36;False;dead
34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;35;136;880;[90,864,159,904];2144.85;0.484148;1940.85;38;False;dead
35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E24;5;24;1;1;36;823;907;[798,880,849,934];2753.59;0.384666;1792.87;39;False;dead
