;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;1;2083;24;[2063,4,2103,59];1887.84;0.758895;1525.64;6;True;alive
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;2;382;68;[281,15,436,192];2716.15;0.637121;16237.0;7;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;3;713;110;[664,24,801,183];2831.85;0.69756;13047.3;8;True;alive
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;4;1513;85;[1477,50,1549,122];2398.86;0.76499;3969.01;9;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;5;1174;83;[1138,54,1204,112];2288.85;0.663585;2902.23;10;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;6;1630;163;[1587,69,1673,207];2575.1;0.7196;9695.76;11;True;alive
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;7;1385;120;[1351,88,1420,156];2587.89;0.715076;3710.3;12;True;alive
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;8;962;120;[921,86,1005,156];2503.02;0.702781;4620.58;13;True;alive
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;9;2177;113;[2142,94,2200,133];1803.91;0.675048;1579.94;14;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;10;1751;171;[1699,140,1787,204];2443.3;0.625396;4228.78;15;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;11;935;218;[891,173,982,265];2795.29;0.772706;6656.18;16;True;alive
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;12;179;255;[117,187,237,318];3191.65;0.820635;11135.2;17;True;alive
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;13;287;235;[224,183,346,295];2839.53;0.788826;10393.1;18;True;alive
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;14;733;226;[694,186,787,266];2591.49;0.743087;5767.2;19;True;alive
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;15;1891;290;[1855,245,1926,328];2433.96;0.682787;4431.07;20;False;dead
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;16;1308;339;[1270,303,1349,386];2570.86;0.731463;5362.64;21;True;alive
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;17;313;344;[282,313,355,377];2412.73;0.642306;3497.37;22;False;dead
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;18;1726;504;[1635,318,1787,564];2928.23;0.620866;22456.6;23;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;19;598;358;[575,333,625,386];2504.0;0.592268;1816.29;25;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;20;1428;381;[1383,333,1475,425];2684.04;0.754786;6512.46;26;True;alive
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;21;1022;397;[983,364,1059,431];2537.78;0.74723;3966.88;27;True;alive
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;22;1337;421;[1294,378,1382,463];2742.53;0.863141;6005.68;28;True;alive
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;23;613;413;[584,391,647,439];2389.81;0.586635;2217.66;29;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;24;388;479;[373,464,425,497];2193.88;0.590475;1258.41;30;False;dead
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;25;532;502;[486,461,582,546];2871.59;0.776667;6384.7;31;True;alive
25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;26;1509;509;[1475,477,1548,543];2454.43;0.67787;3882.77;32;False;dead
26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;27;1883;540;[1829,487,1944,603];2739.88;0.743893;9920.4;33;True;alive
27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;28;361;546;[321,502,401,600];2628.7;0.709942;6305.91;34;True;alive
28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;29;440;559;[400,516,490,600];2797.25;0.737149;5578.76;35;True;alive
29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;30;156;572;[111,532,203,613];2476.33;0.676937;5310.47;36;False;dead
30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;31;1974;580;[1926,533,2018,644];2599.3;0.77799;7555.81;37;True;alive
31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;32;1414;598;[1378,568,1446,629];2286.26;0.632281;3115.16;38;False;dead
32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;33;2069;666;[2023,629,2109,707];2398.42;0.636545;5560.66;39;False;dead
33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;F20;6;20;1;1;34;117;738;[88,704,173,775];2230.49;0.508543;3831.67;41;False;dead
