;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;1;937;131;[900,97,984,197];2701.18;0.593053;5202.94;2;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;2;1671;158;[1640,125,1702,197];2412.88;0.667861;3282.31;3;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;3;1154;221;[1093,160,1213,312];3511.33;0.624617;12975.9;4;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;4;1304;197;[1275,169,1343,243];2584.93;0.616063;3581.48;5;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;5;1047;267;[999,221,1092,310];2852.31;0.71279;6577.4;7;True;alive
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;6;488;331;[460,282,536,359];2470.59;0.437243;3148.17;8;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;7;1588;343;[1561,312,1612,372];2428.96;0.647419;2241.09;9;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;8;689;407;[646,363,737,454];2758.54;0.675996;6259.07;10;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;9;1162;409;[1111,366,1216,452];2705.92;0.673425;6615.73;11;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;10;504;415;[458,370,550,461];2792.34;0.745019;6606.15;12;True;alive
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;11;1696;493;[1653,442,1743,537];2777.29;0.701484;6818.01;13;True;alive
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;G12;7;12;1;1;12;1072;512;[1037,483,1102,542];2637.23;0.682815;2773.41;14;False;dead
