;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;1;838;44;[774,2,902,91];2612.31;0.727141;8399.01;3;True;alive
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;2;1025;63;[987,17,1064,111];2501.19;0.574943;5167.81;4;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;3;1360;75;[1320,36,1411,133];2447.49;0.620506;6454.97;5;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;4;1656;70;[1612,38,1690,112];2313.77;0.525645;3901.94;6;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;5;844;127;[774,71,872,161];2402.62;0.608583;5399.9;7;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;6;547;144;[500,93,599,206];2663.29;0.700729;8345.78;9;True;alive
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;7;181;130;[154,106,221,161];2035.38;0.580069;2385.88;10;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;8;1156;147;[1111,108,1198,186];2691.78;0.733476;4934.65;11;True;alive
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;9;1496;150;[1457,118,1534,193];2488.66;0.608627;4529.02;12;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;H18;8;18;1;1;10;760;196;[700,142,839,254];2600.71;0.631199;11550.4;13;False;dead
