;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;1;1487;1880;[1431,1863,1513,1901];2166.01;0.344221;1939.79;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;2;1737;23;[1709,2,1775,49];2874.33;0.580653;2126.1;5;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;3;556;46;[518,23,600,75];2773.2;0.531644;2938.43;7;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;4;2016;94;[1977,47,2051,139];4549.13;0.732153;4585.44;9;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;5;665;95;[630,60,694,121];3054.17;0.612875;2759.57;10;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;6;995;94;[936,71,1019,133];3466.19;0.421153;2858.58;11;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;7;617;136;[590,103,646,165];3419.91;0.684469;2906.49;12;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;8;1387;220;[1352,195,1407,255];3550.26;0.586304;2141.01;13;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;9;590;263;[555,213,621,300];3509.94;0.583157;3481.4;14;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;10;504;260;[477,227,530,315];3162.22;0.567255;3151.36;15;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;11;742;266;[714,236,768,300];3983.59;0.56019;2329.45;16;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;12;1711;261;[1686,240,1759,288];3015.65;0.630237;2534.93;17;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;13;1377;302;[1347,262,1407,333];3921.68;0.716338;3005.5;18;True;alive
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;14;397;300;[360,265,437,338];4336.45;0.838813;4144.68;19;True;alive
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;15;1739;321;[1714,298,1776,341];3386.87;0.732747;1668.3;20;True;alive
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;16;1769;365;[1735,304,1822,423];3797.7;0.615499;6007.81;21;False;dead
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;17;1386;354;[1354,330,1422,382];3386.37;0.615386;2605.2;22;False;dead
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;18;2117;435;[2072,381,2155,472];3094.09;0.546395;4324.6;23;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;19;386;447;[347,401,428,492];2945.27;0.589128;5060.28;24;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;20;78;453;[60,433,98,473];2365.0;0.602193;1155.14;25;False;dead
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;21;1482;468;[1454,443,1504,499];3559.16;0.583763;1894.01;26;False;dead
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;22;711;474;[677,448,744,502];3475.75;0.439288;2125.04;27;False;dead
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;23;2041;593;[2005,566,2064,631];3003.01;0.579204;2537.06;29;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;24;551;598;[524,573,586,631];3448.9;0.6395;2685.04;30;False;dead
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;25;1627;727;[1590,684,1664,789];3022.73;0.379987;3979.66;31;False;dead
25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;26;182;728;[156,700,215,760];2740.25;0.621113;2538.12;32;False;dead
26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;27;1523;738;[1494,713,1551,768];2838.46;0.476955;2000.48;33;False;dead
27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;28;89;933;[35,908,128,964];2582.66;0.521982;3316.38;34;False;dead
28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;29;349;953;[282,911,393,994];3008.99;0.497654;5032.59;35;False;dead
29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;30;421;1014;[379,946,457,1072];3546.76;0.494723;5693.74;36;False;dead
30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;31;1381;1044;[1351,995,1427,1085];3493.79;0.577847;4057.38;37;False;dead
31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;32;140;1064;[112,1034,178,1088];2921.89;0.767449;2631.81;38;True;alive
32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I18;9;18;1;1;33;97;1078;[20,1052,135,1118];2587.79;0.530338;3575.09;39;False;dead
