;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;1;925;396;[909,376,951,431];2712.92;0.539968;1452.18;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;2;2111;1491;[2095,1456,2126,1506];2674.83;0.671272;1107.23;2;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;3;1906;52;[1877,4,1925,71];3677.9;0.478983;1821.61;3;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;4;280;35;[257,8,302,59];2466.21;0.709354;1656.59;4;True;alive
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;5;1286;68;[1254,37,1303,95];3026.14;0.602124;1777.96;5;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;6;1636;93;[1596,43,1678,117];2583.23;0.382484;2868.16;6;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;7;1038;69;[1016,49,1059,87];2774.29;0.727998;1163.66;7;True;alive
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;8;1515;128;[1484,98,1546,148];3011.98;0.437017;1585.26;8;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;9;917;164;[895,118,951,186];2860.9;0.405729;2097.36;9;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;10;1897;166;[1860,145,1924,191];2867.52;0.624043;1636.37;10;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;11;1524;205;[1503,187,1549,228];2677.66;0.613288;1352.1;11;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;12;2121;215;[2097,192,2147,248];2718.24;0.652391;1796.06;12;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;13;1586;238;[1556,203,1621,266];3661.66;0.61669;2678.66;13;False;dead
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;14;844;239;[821,210,889,268];2897.07;0.565221;2594.55;14;False;dead
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;15;146;250;[129,231,168,268];3350.68;0.789683;1063.58;15;True;alive
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;16;1981;268;[1959,251,2001,287];2985.79;0.702508;1066.78;16;True;alive
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;17;1141;289;[1112,272,1162,329];2967.77;0.471855;1628.91;17;False;dead
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;18;938;314;[914,285,986,370];2901.59;0.45243;3336.61;18;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;19;322;314;[289,287,351,344];3021.09;0.606594;2184.66;19;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;20;1356;375;[1327,353,1414,425];3018.3;0.547634;3469.69;20;False;dead
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;21;1343;418;[1307,397,1370,441];2747.12;0.620182;1901.46;21;False;dead
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;22;713;421;[688,399,759,457];2955.5;0.429772;2330.52;22;False;dead
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;23;405;449;[371,403,422,473];2944.14;0.497653;1963.21;23;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;24;925;449;[898,423,962,475];3473.68;0.560591;2350.74;24;False;dead
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;J5;10;5;1;1;25;57;498;[16,476,79,525];2906.04;0.539343;1747.09;26;False;dead
