;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;1;545;169;[527,143,584,187];2332.56;0.443613;1459.63;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;2;81;670;[67,654,118,693];2398.41;0.534646;1189.21;2;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;3;155;1983;[114,1965,182,2015];2375.09;0.600648;1397.88;4;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;4;1009;47;[980,17,1038,84];2775.64;0.693234;2746.79;7;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;5;1732;74;[1707,31,1778,106];2448.18;0.567939;3049.15;8;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;6;1961;125;[1904,57,1987,167];2475.52;0.351891;4040.34;9;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;7;1146;92;[1126,68,1163,114];2508.28;0.658589;1270.13;10;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;8;1079;97;[1031,77,1111,114];2605.62;0.468249;1801.39;11;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;9;1631;138;[1579,119,1659,178];2678.47;0.431831;2546.64;12;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;K14;11;14;1;1;10;795;173;[764,137,816,207];2465.87;0.409271;1821.61;13;False;dead
