;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;1;1966;66;[1946,19,1988,91];3674.16;0.620241;1775.83;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;2;1282;163;[1228,146,1376,248];2352.35;0.254223;3534.63;2;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;3;1681;653;[1666,630,1709,679];3755.04;0.6419;1248.83;3;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;4;1657;674;[1623,662,1679,693];3702.34;0.598699;1158.34;4;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;5;1360;967;[1340,937,1389,984];2958.24;0.531499;1165.79;5;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;6;955;973;[923,948,985,1003];3137.35;0.547378;1617.2;6;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;7;1408;1601;[1377,1556,1439,1623];3432.05;0.550769;1587.39;7;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;8;1464;1587;[1447,1561,1489,1608];3443.71;0.772883;1396.82;8;True;alive
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;9;2019;1846;[1997,1815,2064,1865];3906.68;0.658682;2078.19;9;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;10;2045;67;[1972,28,2091,123];4952.43;0.643787;6337.85;11;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;11;766;83;[732,57,790,118];3534.09;0.639507;2236.83;12;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;12;1763;154;[1720,130,1803,192];3213.21;0.467886;2603.07;13;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;13;1459;183;[1431,146,1494,245];3475.69;0.512526;3489.92;14;False;dead
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;14;558;200;[529,151,582,226];3182.31;0.517802;2360.33;15;False;dead
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;15;1932;188;[1902,160,1962,218];3217.21;0.605729;2335.84;16;False;dead
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;16;1882;238;[1855,221,1906,261];3614.55;0.748612;1360.62;17;True;alive
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;L6;12;6;1;1;17;328;323;[308,292,353,339];3717.29;0.723396;1200.92;18;True;alive
