;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;1;2181;346;[2169,335,2203,404];2433.74;0.408532;1167.92;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;2;223;687;[208,664,268,703];2744.92;0.569621;1549.06;2;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;3;1702;817;[1675,800,1724,847];2528.32;0.552168;1171.11;3;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;4;2157;1369;[2111,1345,2178,1403];2407.92;0.473643;2008.99;4;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;5;166;1644;[150,1604,185,1665];2633.24;0.624308;1313.78;5;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;6;1010;54;[963,28,1028,88];2379.59;0.463257;1884.43;9;False;dead
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;7;2075;58;[2027,35,2103,107];2980.15;0.495108;3185.43;10;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;8;1095;85;[1073,69,1114,116];2508.15;0.614486;1434.08;11;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;9;178;96;[156,78,198,122];2495.0;0.700508;1139.17;12;True;alive
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;10;1276;223;[1248,203,1292,243];2764.57;0.501131;1111.49;13;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;11;1862;229;[1838,215,1895,275];2622.41;0.344261;2044.13;14;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;12;1081;246;[1053,218,1123,278];2691.16;0.495764;2108.0;15;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;13;936;305;[919,275,991,323];2601.51;0.456848;1775.83;16;False;dead
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;14;1905;340;[1883,319,1931,384];2564.02;0.415854;1997.28;17;False;dead
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;15;2017;405;[1991,382,2044,429];3205.33;0.443899;1401.08;18;False;dead
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;16;1666;429;[1632,397,1711,486];2948.78;0.458404;4143.61;19;False;dead
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;17;1766;437;[1737,404,1807,480];2703.85;0.493899;3134.33;20;False;dead
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;18;2131;456;[2106,432,2158,481];2586.11;0.603989;1634.24;21;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;19;2114;546;[2077,518,2131,582];2958.07;0.36035;1610.81;22;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;20;1328;702;[1279,647,1385,768];3197.25;0.587903;8472.47;23;False;dead
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;21;212;727;[194,702,232,748];2462.78;0.868795;1289.29;24;True;alive
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;22;180;741;[157,704,214,785];2904.86;0.685791;2533.86;25;False;dead
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;23;1680;805;[1664,770,1694,828];2657.59;0.623416;1162.6;26;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;24;1741;810;[1719,783,1756,827];2473.11;0.558581;1063.58;27;False;dead
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;25;1311;1286;[1275,1266,1341,1313];2691.69;0.546349;1493.7;28;False;dead
25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;26;1985;1315;[1953,1296,2007,1348];2026.73;0.379181;1595.91;29;False;dead
26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;27;1779;1350;[1751,1328,1801,1369];2418.36;0.660037;1404.27;30;False;dead
27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;28;2125;1430;[2084,1368,2167,1455];2609.21;0.557231;3683.68;31;False;dead
28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;29;2081;1405;[2059,1388,2101,1426];2582.42;0.638663;1063.58;32;False;dead
29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;30;1599;1406;[1578,1391,1617,1450];2721.26;0.57358;1400.01;33;False;dead
30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;31;1437;1644;[1344,1576,1580,1729];2213.79;0.501623;22724.9;34;False;dead
31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;32;1541;1798;[1512,1744,1559,1814];2474.68;0.413866;1520.32;35;False;dead
32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;M8;13;8;1;1;33;271;1784;[245,1770,304,1803];2733.85;0.591006;1318.04;36;False;dead
