;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;1;587;1855;[574,1833,629,1885];4002.22;0.49258;1571.42;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;2;1149;2013;[1137,2000,1188,2037];2570.87;0.419462;1130.66;2;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;3;1397;82;[1363,56,1423,114];3591.53;0.582244;2228.31;4;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;4;1530;114;[1493,84,1559,141];2967.25;0.67421;2530.67;5;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;5;1494;169;[1440,122,1534,209];3225.66;0.620387;5175.26;6;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;6;620;183;[584,139,659,219];3537.86;0.716867;4360.8;7;True;alive
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;7;865;203;[840,187,899,238];3329.06;0.563561;1806.71;8;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;8;316;227;[287,202,337,255];2839.37;0.638671;1843.97;9;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;9;279;357;[258,336,321,390];3196.96;0.603539;1980.25;10;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;10;63;364;[44,348,86,382];3099.63;0.759725;1045.49;11;True;alive
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;11;630;401;[611,385,679,437];2636.87;0.539771;1687.47;12;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;12;634;443;[605,419,663,509];2644.77;0.319623;2393.33;13;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;13;1963;474;[1932,457,1979,512];2598.85;0.469571;1563.97;14;False;dead
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;14;1958;535;[1916,500,1985,568];3188.3;0.737251;3321.7;15;True;alive
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;15;1986;724;[1942,702,2005,763];2838.99;0.420481;1628.91;16;False;dead
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;16;1441;768;[1420,745,1461,787];3196.55;0.740415;1230.73;17;True;alive
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;17;1040;973;[1007,924,1079,998];2631.91;0.377094;2224.05;18;False;dead
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;18;315;973;[291,955,335,996];2582.36;0.74641;1195.6;19;True;alive
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;19;284;1068;[262,1041,301,1086];3162.19;0.664862;1149.82;20;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;20;69;1117;[42,1092,110,1148];2586.01;0.593848;1929.14;21;False;dead
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;21;1121;1260;[1093,1246,1158,1302];2721.84;0.49301;1727.92;22;False;dead
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;22;217;1495;[172,1464,272,1543];3014.42;0.367583;3590.0;23;False;dead
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;23;675;1775;[653,1754,697,1810];2511.18;0.648696;1635.3;24;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;24;596;1901;[564,1882,619,1926];3306.35;0.794699;1606.55;25;True;alive
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;25;357;1975;[323,1943,400,2016];2705.96;0.46996;3461.17;26;False;dead
25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;26;1197;1993;[1179,1974,1212,2029];3039.09;0.514697;1097.65;27;False;dead
26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;27;1358;2021;[1331,2004,1379,2041];2836.4;0.68658;1227.54;28;False;dead
27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;O17;15;17;1;1;28;718;1074;[473,397,963,1378];2263.79;0.0799765;293811.0;29;False;dead
