;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;alive_bool;status
0;0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;1;1585;86;[1548,40,1602,99];2869.97;0.459024;1720.47;1;False;dead
1;1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;2;59;486;[41,464,89,521];2419.35;0.652908;1617.2;2;False;dead
2;2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;3;675;858;[659,843,695,917];3455.74;0.582693;1670.43;3;False;dead
3;3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;4;1866;1006;[1839,984,1902,1032];2720.65;0.578624;1833.33;4;False;dead
4;4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;5;233;1433;[181,1407,252,1456];2894.26;0.401517;1820.55;5;False;dead
5;5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;6;622;1588;[603,1568,642,1607];3134.98;0.749859;1055.07;6;True;alive
6;6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;7;331;97;[304,80,371,137];3233.71;0.47974;2284.74;8;False;dead
7;7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;8;80;120;[57,101,145,144];3757.28;0.580953;2201.69;9;False;dead
8;8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;9;2047;151;[1996,109,2103,207];3162.79;0.506712;7112.92;10;False;dead
9;9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;10;1162;270;[1130,203,1194,323];3073.81;0.457506;4515.18;11;False;dead
10;10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;11;441;317;[406,273,475,371];3779.15;0.538403;3891.29;12;False;dead
11;11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;12;508;299;[485,284,534,349];2873.13;0.418885;1607.62;13;False;dead
12;12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;13;1117;356;[1077,335,1136,402];3324.08;0.584561;2318.8;14;False;dead
13;13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;14;930;376;[906,352,960,403];3333.94;0.622707;2102.68;15;False;dead
14;14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;15;1321;379;[1299,363,1355,402];2816.79;0.502622;1376.59;16;False;dead
15;15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;16;1358;447;[1335,421,1390,474];3193.78;0.493613;1848.23;17;False;dead
16;16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;17;1484;546;[1443,524,1504,583];3193.0;0.50161;2212.34;18;False;dead
17;17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;18;1265;604;[1237,584,1295,663];3039.81;0.543925;2725.5;19;False;dead
18;18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;19;373;702;[344,655,402,748];2882.35;0.50418;3298.28;20;False;dead
19;19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;20;1575;836;[1547,807,1602,876];3255.36;0.574625;2705.27;21;False;dead
20;20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;21;638;877;[595,831,673,916];4021.65;0.658217;4456.62;22;False;dead
21;21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;22;1490;906;[1462,883,1517,932];3090.23;0.563022;1920.63;23;False;dead
22;22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;23;364;914;[340,884,395,937];3200.07;0.553435;1723.67;24;False;dead
23;23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;24;145;942;[120,907,175,974];3049.96;0.463491;1871.65;25;False;dead
24;24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;25;1182;935;[1156,918,1203,984];3109.08;0.382859;1618.27;26;False;dead
25;25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;26;391;957;[362,929,425,1001];3186.92;0.598381;2738.28;27;False;dead
26;26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;27;1273;1026;[1236,1015,1290,1063];2866.97;0.275616;1436.21;28;False;dead
27;27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;28;1992;1038;[1969,1015,2009,1097];2722.74;0.498694;1969.6;29;False;dead
28;28;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;29;480;1059;[461,1041,498,1079];2749.84;0.576148;1013.55;30;False;dead
29;29;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;30;1354;1238;[1316,1154,1436,1278];3212.96;0.30864;6213.29;31;False;dead
30;30;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;31;2174;1269;[2147,1242,2202,1296];2963.62;0.649013;1950.44;32;False;dead
31;31;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;32;362;1360;[342,1331,388,1396];3471.77;0.617588;1746.02;33;False;dead
32;32;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;33;903;1357;[882,1328,944,1395];3042.79;0.465641;2467.86;34;False;dead
33;33;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;34;1019;1381;[1001,1362,1048,1428];3401.04;0.437362;1637.43;35;False;dead
34;34;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;35;179;1469;[154,1415,194,1488];3365.25;0.581368;1616.14;36;False;dead
35;35;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;36;1243;1531;[1220,1499,1295,1559];2525.75;0.594138;2664.82;37;False;dead
36;36;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;37;695;1538;[675,1509,714,1557];3312.7;0.717037;1301.0;38;True;alive
37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;38;657;1569;[627,1541,686,1597];3648.83;0.710821;2200.63;39;True;alive
38;38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;39;782;1598;[739,1561,825,1635];3671.18;0.563307;3402.62;40;False;dead
39;39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;40;1379;1667;[1351,1633,1412,1693];3493.1;0.646726;2512.57;41;False;dead
40;40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;41;904;1703;[860,1660,937,1735];3240.57;0.460027;2892.65;42;False;dead
41;41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;42;1406;1963;[1386,1944,1430,1984];2856.72;0.747829;1304.19;43;True;alive
42;42;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;43;1664;2063;[1625,2040,1685,2084];3245.61;0.669207;1872.72;44;False;dead
43;43;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;44;922;956;[476,230,1408,1256];2498.73;0.0519169;481925.0;45;False;dead
44;44;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;45;1018;297;[993,258,1063,340];2434.25;0.162649;2068.61;46;False;dead
45;45;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;P14;16;14;1;1;46;1153;676;[1120,645,1191,692];2428.57;0.123337;1197.73;47;False;dead
